 #  R                 Z
    0.29957711E+01    0.22476765E+00
    0.29836530E+01    0.24440657E+00
    0.29662620E+01    0.25484588E+00
    0.29470523E+01    0.25427518E+00
    0.29294523E+01    0.24238117E+00
    0.29186396E+01    0.22156814E+00
    0.29158361E+01    0.19667427E+00
    0.29212473E+01    0.17286354E+00
    0.29338353E+01    0.15448214E+00
    0.29512213E+01    0.14515527E+00
    0.29701093E+01    0.14690931E+00
    0.29866811E+01    0.15967953E+00
    0.29973604E+01    0.18096521E+00
    0.29997994E+01    0.20626869E+00
    0.29934826E+01    0.23025859E+00
    0.29797557E+01    0.24797526E+00
    0.29615338E+01    0.25583995E+00
    0.29424026E+01    0.25245606E+00
    0.29260781E+01    0.23790646E+00
    0.29171612E+01    0.21575384E+00
    0.29164210E+01    0.19057208E+00
    0.29237003E+01    0.16773100E+00
    0.29377335E+01    0.15125672E+00
    0.29558535E+01    0.14452315E+00
    0.29745176E+01    0.14906088E+00
    0.29899384E+01    0.16421561E+00
    0.29987669E+01    0.18695335E+00
    0.29990482E+01    0.21241863E+00
    0.29907420E+01    0.23530300E+00
    0.29756077E+01    0.25087505E+00
    0.29568325E+01    0.25605549E+00
    0.29378713E+01    0.24993311E+00
    0.29231492E+01    0.23294588E+00
    0.29161548E+01    0.20971660E+00
    0.29174563E+01    0.18461641E+00
    0.29265858E+01    0.16293920E+00
    0.29418992E+01    0.14859226E+00
    0.29604508E+01    0.14451960E+00
    0.29786981E+01    0.15177834E+00
    0.29928117E+01    0.16914690E+00
    0.29996940E+01    0.19307289E+00
    0.29978255E+01    0.21840053E+00
    0.29876351E+01    0.23992466E+00
    0.29713575E+01    0.25309048E+00
    0.29522356E+01    0.25562513E+00
    0.29337039E+01    0.24678824E+00
    0.29207649E+01    0.22779986E+00
    0.29156843E+01    0.20363497E+00
    0.29189329E+01    0.17897128E+00
    0.29297345E+01    0.15868420E+00
    0.29461656E+01    0.14658038E+00
    0.29650386E+01    0.14522369E+00
    0.29826471E+01    0.15515169E+00
    0.29952432E+01    0.17451055E+00
    0.30000712E+01    0.19928451E+00
    0.29960738E+01    0.22418687E+00
    0.29841405E+01    0.24401870E+00
    0.29668516E+01    0.25475592E+00
    0.29476079E+01    0.25453345E+00
    0.29298593E+01    0.24295681E+00
    0.29187918E+01    0.22229454E+00
    0.29157259E+01    0.19743442E+00
    0.29209324E+01    0.17346530E+00
    0.29333568E+01    0.15484685E+00
    0.29507067E+01    0.14521972E+00
    0.29695865E+01    0.14664092E+00
    0.29862663E+01    0.15908732E+00
    0.29971772E+01    0.18016676E+00
    0.29999031E+01    0.20543730E+00
    0.29938571E+01    0.22956667E+00
    0.29803130E+01    0.24759589E+00
    0.29621721E+01    0.25580924E+00
    0.29430224E+01    0.25279021E+00
    0.29264646E+01    0.23855980E+00
    0.29172963E+01    0.21660216E+00
    0.29162378E+01    0.19145364E+00
    0.29232686E+01    0.16841430E+00
    0.29371296E+01    0.15162582E+00
    0.29551643E+01    0.14449699E+00
    0.29738985E+01    0.14863198E+00
    0.29895279E+01    0.16347040E+00
    0.29986508E+01    0.18605448E+00
    0.29992466E+01    0.21155134E+00
    0.29912098E+01    0.23465320E+00
    0.29762427E+01    0.25057240E+00
    0.29575018E+01    0.25615078E+00
    0.29385216E+01    0.25040750E+00
    0.29234905E+01    0.23371901E+00
    0.29162146E+01    0.21051565E+00
    0.29172703E+01    0.18534407E+00
    0.29261983E+01    0.16348347E+00
    0.29413735E+01    0.14886048E+00
    0.29599360E+01    0.14448010E+00
    0.29782614E+01    0.15145476E+00
    0.29925197E+01    0.16858509E+00
    0.29996169E+01    0.19237502E+00
    0.29979881E+01    0.21775326E+00
    0.29880139E+01    0.23939925E+00
    0.29718063E+01    0.25292797E+00
    0.29526880E+01    0.25573893E+00
    0.29340792E+01    0.24716555E+00
    0.29209285E+01    0.22830183E+00
    0.29156630E+01    0.20419012E+00
    0.29187506E+01    0.17944216E+00
    0.29294233E+01    0.15900586E+00
    0.29457745E+01    0.14669059E+00
    0.29645906E+01    0.14506088E+00
    0.29822670E+01    0.15470890E+00
    0.29950457E+01    0.17388405E+00
    0.30001040E+01    0.19860152E+00
    0.29963356E+01    0.22357839E+00
    0.29845521E+01    0.24369392E+00
    0.29672808E+01    0.25475255E+00
    0.29480294E+01    0.25476231E+00
    0.29301493E+01    0.24341825E+00
    0.29188809E+01    0.22284768E+00
    0.29155991E+01    0.19805322E+00
    0.29206211E+01    0.17394753E+00
    0.29329023E+01    0.15510951E+00
    0.29502064E+01    0.14519446E+00
    0.29691660E+01    0.14634522E+00
    0.29860156E+01    0.15861507E+00
    0.29971213E+01    0.17962811E+00
    0.30000352E+01    0.20494402E+00
    0.29941396E+01    0.22921466E+00
    0.29807181E+01    0.24738469E+00
    0.29626020E+01    0.25585319E+00
