 #  R                 Z
    0.30346469E+01    0.28221539E+00
    0.30754903E+01    0.34155178E+00
    0.31177926E+01    0.36746891E+00
    0.31644455E+01    0.35824275E+00
    0.32201898E+01    0.30576784E+00
    0.32715147E+01    0.19598082E+00
    0.32712675E+01    0.31094634E-01
    0.31997957E+01   -0.13521295E+00
    0.31028801E+01   -0.20622421E+00
    0.30291077E+01   -0.20343659E+00
    0.29829530E+01   -0.17081858E+00
    0.29648132E+01   -0.11648780E+00
    0.29566314E+01   -0.45243279E-01
    0.29649423E+01    0.44841000E-01
    0.29867085E+01    0.14713182E+00
    0.30175884E+01    0.24253166E+00
    0.30556262E+01    0.31562346E+00
    0.30978244E+01    0.35840371E+00
    0.31426093E+01    0.36494679E+00
    0.31948177E+01    0.33304716E+00
    0.32523858E+01    0.24758818E+00
    0.32803850E+01    0.10623555E+00
    0.32374179E+01   -0.70836795E-01
    0.31466810E+01   -0.18510831E+00
    0.30575969E+01   -0.20969092E+00
    0.29994986E+01   -0.18780705E+00
    0.29706730E+01   -0.14224967E+00
    0.29580468E+01   -0.78579298E-01
    0.29578803E+01    0.20764945E-02
    0.29737746E+01    0.99661294E-01
    0.30004555E+01    0.19909386E+00
    0.30353722E+01    0.28189403E+00
    0.30765223E+01    0.34108824E+00
    0.31192811E+01    0.36624529E+00
    0.31665622E+01    0.35578622E+00
    0.32228439E+01    0.30102132E+00
    0.32729319E+01    0.18852756E+00
    0.32688853E+01    0.21598361E-01
    0.31949973E+01   -0.14092884E+00
    0.30980085E+01   -0.20725695E+00
    0.30262620E+01   -0.20185912E+00
    0.29817752E+01   -0.16769359E+00
    0.29644110E+01   -0.11193190E+00
    0.29567049E+01   -0.39348478E-01
    0.29662028E+01    0.52066129E-01
    0.29886843E+01    0.15443387E+00
    0.30201793E+01    0.24828085E+00
    0.30589609E+01    0.31937873E+00
    0.31015701E+01    0.35928460E+00
    0.31470878E+01    0.36274773E+00
    0.32004569E+01    0.32650566E+00
    0.32573595E+01    0.23459309E+00
    0.32786719E+01    0.86393400E-01
    0.32277605E+01   -0.89043963E-01
    0.31352317E+01   -0.19076899E+00
    0.30501642E+01   -0.20668751E+00
    0.29946249E+01   -0.18108236E+00
    0.29698686E+01   -0.13121524E+00
    0.29589090E+01   -0.63061479E-01
    0.29628651E+01    0.23884517E-01
    0.29821869E+01    0.12608371E+00
    0.30119845E+01    0.22531238E+00
    0.30491868E+01    0.30348500E+00
    0.30914649E+01    0.35236108E+00
    0.31360461E+01    0.36444088E+00
    0.31872206E+01    0.33872968E+00
    0.32452765E+01    0.26143354E+00
    0.32802676E+01    0.12794248E+00
    0.32470083E+01   -0.48335956E-01
    0.31591876E+01   -0.17636941E+00
    0.30666429E+01   -0.21077279E+00
    0.30058621E+01   -0.19226188E+00
    0.29729681E+01   -0.14969471E+00
    0.29590543E+01   -0.88347243E-01
    0.29561671E+01   -0.10779101E-01
    0.29702111E+01    0.84319757E-01
    0.29952267E+01    0.18408671E+00
    0.30286368E+01    0.26988523E+00
    0.30690154E+01    0.33347777E+00
    0.31114705E+01    0.36476772E+00
    0.31576127E+01    0.36049910E+00
    0.32125203E+01    0.31448815E+00
    0.32665473E+01    0.21092360E+00
    0.32746070E+01    0.51652942E-01
    0.32103778E+01   -0.11905185E+00
    0.31147140E+01   -0.20091059E+00
    0.30367950E+01   -0.20400011E+00
    0.29871558E+01   -0.17329732E+00
    0.29671224E+01   -0.11951049E+00
    0.29581560E+01   -0.48069456E-01
    0.29657846E+01    0.42610503E-01
    0.29875915E+01    0.14597684E+00
    0.30189393E+01    0.24218567E+00
    0.30576614E+01    0.31534252E+00
    0.31006863E+01    0.35675504E+00
    0.31466953E+01    0.36095199E+00
    0.32004288E+01    0.32491057E+00
    0.32573860E+01    0.23255197E+00
    0.32778655E+01    0.83518139E-01
    0.32262268E+01   -0.90787400E-01
    0.31337168E+01   -0.19067536E+00
    0.30494579E+01   -0.20519552E+00
    0.29943100E+01   -0.17852989E+00
    0.29704030E+01   -0.12695542E+00
    0.29598404E+01   -0.56738500E-01
    0.29653408E+01    0.32944859E-01
    0.29861414E+01    0.13685226E+00
    0.30172226E+01    0.23526108E+00
    0.30557969E+01    0.31068822E+00
    0.30991141E+01    0.35412419E+00
    0.31454358E+01    0.35967634E+00
    0.31993039E+01    0.32468977E+00
    0.32564934E+01    0.23314945E+00
    0.32775410E+01    0.84623389E-01
    0.32266369E+01   -0.89165225E-01
    0.31344510E+01   -0.18960295E+00
    0.30501577E+01   -0.20436757E+00
    0.29948019E+01   -0.17742197E+00
    0.29709924E+01   -0.12503238E+00
    0.29605137E+01   -0.53723765E-01
    0.29667157E+01    0.37385517E-01
    0.29882756E+01    0.14217033E+00
    0.30201048E+01    0.23990220E+00
    0.30596379E+01    0.31367252E+00
    0.31037662E+01    0.35390963E+00
    0.31513454E+01    0.35557502E+00
    0.32068225E+01    0.31462333E+00
    0.32623710E+01    0.21429722E+00
    0.32733128E+01    0.57347700E-01
    0.32129971E+01   -0.11070852E+00
    0.31185642E+01   -0.19567386E+00
    0.30403410E+01   -0.19935860E+00
    0.29901471E+01   -0.16637330E+00
    0.29700192E+01   -0.10785551E+00
    0.29615179E+01   -0.30563340E-01
    0.29725265E+01    0.66525980E-01
    0.29975226E+01    0.17200494E+00
    0.30328664E+01    0.26294780E+00
    0.30757970E+01    0.32727863E+00
    0.31220251E+01    0.35397542E+00
    0.31733233E+01    0.34052368E+00
    0.32321625E+01    0.27661106E+00
    0.32753818E+01    0.15149705E+00
    0.32541083E+01   -0.20427121E-01
    0.31733565E+01   -0.15885121E+00
    0.30795434E+01   -0.20428141E+00
    0.30144341E+01   -0.18799494E+00
    0.29791609E+01   -0.14255293E+00
    0.29640904E+01   -0.75539427E-01
    0.29639687E+01    0.10696879E-01
    0.29816419E+01    0.11394210E+00
    0.30113142E+01    0.21603258E+00
    0.30492846E+01    0.29702178E+00
    0.30928288E+01    0.34703522E+00
    0.31392546E+01    0.35820023E+00
    0.31925390E+01    0.32900579E+00
    0.32507177E+01    0.24447434E+00
    0.32782046E+01    0.10216390E+00
    0.32346997E+01   -0.72234539E-01
    0.31448365E+01   -0.18289386E+00
    0.30574363E+01   -0.20496624E+00
    0.29992300E+01   -0.18065234E+00
    0.29727655E+01   -0.13002636E+00
    0.29612115E+01   -0.59967585E-01
    0.29657752E+01    0.29791993E-01
    0.29862958E+01    0.13429940E+00
    0.30175146E+01    0.23352993E+00
    0.30564112E+01    0.30951302E+00
    0.31002111E+01    0.35270274E+00
    0.31472201E+01    0.35735661E+00
    0.32018441E+01    0.32049119E+00
    0.32585975E+01    0.22564768E+00
    0.32757842E+01    0.73645825E-01
    0.32210970E+01   -0.97844630E-01
    0.31280673E+01   -0.19181017E+00
    0.30462896E+01   -0.20177725E+00
    0.29929405E+01   -0.17205563E+00
    0.29710120E+01   -0.11641734E+00
    0.29614007E+01   -0.41715740E-01
    0.29702710E+01    0.53138346E-01
    0.29939191E+01    0.15906062E+00
    0.30279174E+01    0.25332149E+00
    0.30698962E+01    0.32152208E+00
    0.31157244E+01    0.35321196E+00
    0.31660796E+01    0.34500337E+00
    0.32243467E+01    0.28879332E+00
    0.32723999E+01    0.17048350E+00
    0.32603881E+01    0.13425391E-02
    0.31845618E+01   -0.14683391E+00
    0.30893896E+01   -0.20274123E+00
    0.30214059E+01   -0.19043767E+00
    0.29822447E+01   -0.14740931E+00
    0.29657299E+01   -0.81585720E-01
    0.29636180E+01    0.33279591E-02
    0.29801188E+01    0.10595440E+00
    0.30091300E+01    0.20892695E+00
    0.30469559E+01    0.29160420E+00
    0.30906393E+01    0.34394394E+00
    0.31371956E+01    0.35719042E+00
    0.31903832E+01    0.32991413E+00
    0.32488242E+01    0.24751445E+00
    0.32780763E+01    0.10695583E+00
    0.32367301E+01   -0.67268076E-01
