 #  R                 Z
    0.29954711E+01    0.23890856E+00
    0.29786233E+01    0.27138044E+00
    0.29532089E+01    0.29088188E+00
    0.29247083E+01    0.29376787E+00
    0.28988503E+01    0.28003757E+00
    0.28803053E+01    0.25280475E+00
    0.28721817E+01    0.21734085E+00
    0.28757702E+01    0.18022135E+00
    0.28904309E+01    0.14823324E+00
    0.29137729E+01    0.12731691E+00
    0.29417107E+01    0.12178721E+00
    0.29688528E+01    0.13318757E+00
    0.29897558E+01    0.15974788E+00
    0.29997366E+01    0.19633148E+00
    0.29964635E+01    0.23539576E+00
    0.29806683E+01    0.26876363E+00
    0.29558556E+01    0.28970665E+00
    0.29273949E+01    0.29423238E+00
    0.29010490E+01    0.28198065E+00
    0.28816625E+01    0.25585817E+00
    0.28724581E+01    0.22087836E+00
    0.28749364E+01    0.18361742E+00
    0.28886484E+01    0.15084511E+00
    0.29112484E+01    0.12871530E+00
    0.29389079E+01    0.12158304E+00
    0.29663567E+01    0.13133515E+00
    0.29881167E+01    0.15658059E+00
    0.29993438E+01    0.19257018E+00
    0.29973659E+01    0.23175036E+00
    0.29826414E+01    0.26603814E+00
    0.29584727E+01    0.28839419E+00
    0.29301011E+01    0.29455828E+00
    0.29033222E+01    0.28382432E+00
    0.28830812E+01    0.25876986E+00
    0.28728299E+01    0.22433899E+00
    0.28742139E+01    0.18698968E+00
    0.28869405E+01    0.15354104E+00
    0.29088324E+01    0.13021199E+00
    0.29361513E+01    0.12153944E+00
    0.29638623E+01    0.12966650E+00
    0.29864095E+01    0.15357076E+00
    0.29988249E+01    0.18884711E+00
    0.29981380E+01    0.22812400E+00
    0.29845459E+01    0.26315920E+00
    0.29610679E+01    0.28691361E+00
    0.29328456E+01    0.29472124E+00
    0.29056705E+01    0.28553697E+00
    0.28846551E+01    0.26173855E+00
    0.28733216E+01    0.22797429E+00
    0.28735329E+01    0.19063057E+00
    0.28851975E+01    0.15649775E+00
    0.29063560E+01    0.13189989E+00
    0.29333618E+01    0.12164031E+00
    0.29613146E+01    0.12812291E+00
    0.29846114E+01    0.15064571E+00
    0.29981818E+01    0.18509853E+00
    0.29988155E+01    0.22433701E+00
    0.29863639E+01    0.26019676E+00
    0.29636448E+01    0.28528739E+00
    0.29356209E+01    0.29474372E+00
    0.29080969E+01    0.28715098E+00
    0.28862694E+01    0.26452326E+00
    0.28739040E+01    0.23144492E+00
    0.28729935E+01    0.19414105E+00
    0.28836208E+01    0.15942170E+00
    0.29040741E+01    0.13362897E+00
    0.29308622E+01    0.12187768E+00
    0.29589998E+01    0.12687945E+00
    0.29829221E+01    0.14813282E+00
    0.29974989E+01    0.18179755E+00
    0.29993069E+01    0.22096214E+00
    0.29879104E+01    0.25744368E+00
    0.29658857E+01    0.28371637E+00
    0.29380838E+01    0.29462289E+00
    0.29102903E+01    0.28845180E+00
    0.28878022E+01    0.26696054E+00
    0.28745186E+01    0.23454010E+00
    0.28726091E+01    0.19727694E+00
    0.28823233E+01    0.16205402E+00
    0.29019733E+01    0.13536353E+00
    0.29282626E+01    0.12225718E+00
    0.29564335E+01    0.12566384E+00
    0.29809876E+01    0.14548859E+00
    0.29966382E+01    0.17823142E+00
    0.29997291E+01    0.21724353E+00
    0.29895520E+01    0.25422957E+00
    0.29684017E+01    0.28174977E+00
    0.29409184E+01    0.29430504E+00
    0.29128711E+01    0.28979108E+00
    0.28896894E+01    0.26970049E+00
    0.28753556E+01    0.23812964E+00
    0.28722474E+01    0.20109801E+00
    0.28808242E+01    0.16534777E+00
    0.28995887E+01    0.13752272E+00
    0.29253848E+01    0.12285291E+00
    0.29536216E+01    0.12451581E+00
    0.29788195E+01    0.14277526E+00
    0.29955808E+01    0.17444663E+00
    0.30000473E+01    0.21314324E+00
    0.29911641E+01    0.25078018E+00
    0.29709516E+01    0.27957114E+00
    0.29438511E+01    0.29381697E+00
    0.29155894E+01    0.29103376E+00
    0.28916813E+01    0.27235023E+00
    0.28763092E+01    0.24167657E+00
    0.28720233E+01    0.20484605E+00
    0.28794733E+01    0.16865117E+00
    0.28973416E+01    0.13977363E+00
    0.29226243E+01    0.12361231E+00
    0.29508553E+01    0.12358533E+00
    0.29766160E+01    0.14028293E+00
    0.29944086E+01    0.17083244E+00
    0.30002106E+01    0.20922686E+00
    0.29926155E+01    0.24730210E+00
    0.29733498E+01    0.27729741E+00
    0.29466824E+01    0.29315656E+00
    0.29182806E+01    0.29206636E+00
    0.28937239E+01    0.27481812E+00
    0.28773611E+01    0.24508802E+00
    0.28719269E+01    0.20850951E+00
    0.28782647E+01    0.17194779E+00
    0.28952335E+01    0.14209546E+00
    0.29201161E+01    0.12447357E+00
    0.29483785E+01    0.12291472E+00
    0.29745512E+01    0.13817110E+00
    0.29932585E+01    0.16770000E+00
    0.30002290E+01    0.20569874E+00
    0.29937905E+01    0.24416099E+00
    0.29754344E+01    0.27512173E+00
    0.29492115E+01    0.29240291E+00
    0.29207306E+01    0.29284077E+00
    0.28956340E+01    0.27691241E+00
    0.28784178E+01    0.24812331E+00
    0.28719380E+01    0.21190633E+00
    0.28772262E+01    0.17508116E+00
    0.28933719E+01    0.14432293E+00
    0.29176089E+01    0.12546636E+00
    0.29457556E+01    0.12234500E+00
    0.29723605E+01    0.13610181E+00
    0.29919705E+01    0.16451354E+00
    0.30001457E+01    0.20207467E+00
    0.29949123E+01    0.24086661E+00
    0.29774836E+01    0.27282699E+00
    0.29517444E+01    0.29152468E+00
    0.29232262E+01    0.29350612E+00
    0.28976312E+01    0.27895792E+00
    0.28795737E+01    0.25118213E+00
    0.28720312E+01    0.21536995E+00
    0.28762449E+01    0.17831549E+00
    0.28914399E+01    0.14676981E+00
    0.29150405E+01    0.12660855E+00
    0.29429835E+01    0.12187423E+00
    0.29700084E+01    0.13403864E+00
    0.29905227E+01    0.16122028E+00
    0.29999525E+01    0.19823558E+00
    0.29960299E+01    0.23720854E+00
    0.29796976E+01    0.27013685E+00
    0.29545556E+01    0.29038459E+00
    0.29260447E+01    0.29409635E+00
