 #  R                 Z
    0.29855129E+01    0.16505848E+00
    0.29997766E+01    0.19856968E+00
    0.30012816E+01    0.23727402E+00
    0.29897547E+01    0.27302081E+00
    0.29679216E+01    0.29847902E+00
    0.29405893E+01    0.30887120E+00
    0.29133222E+01    0.30272033E+00
    0.28911467E+01    0.28171467E+00
    0.28778841E+01    0.24999861E+00
    0.28757650E+01    0.21332053E+00
    0.28852536E+01    0.17842336E+00
    0.29048650E+01    0.15184364E+00
    0.29312144E+01    0.13891116E+00
    0.29594402E+01    0.14260293E+00
    0.29838295E+01    0.16272482E+00
    0.29990506E+01    0.19545663E+00
    0.30016755E+01    0.23404873E+00
    0.29911837E+01    0.27032023E+00
    0.29700517E+01    0.29687698E+00
    0.29430196E+01    0.30863703E+00
    0.29155406E+01    0.30389055E+00
    0.28927486E+01    0.28402862E+00
    0.28785963E+01    0.25299667E+00
    0.28754787E+01    0.21649008E+00
    0.28840058E+01    0.18116861E+00
    0.29028470E+01    0.15365202E+00
    0.29287910E+01    0.13938763E+00
    0.29570880E+01    0.14160752E+00
    0.29820356E+01    0.16042254E+00
    0.29982146E+01    0.19230979E+00
    0.30019845E+01    0.23072102E+00
    0.29925696E+01    0.26747915E+00
    0.29722101E+01    0.29510795E+00
    0.29454641E+01    0.30827811E+00
    0.29177698E+01    0.30493308E+00
    0.28943661E+01    0.28619456E+00
    0.28793613E+01    0.25584959E+00
    0.28752828E+01    0.21961591E+00
    0.28828508E+01    0.18393470E+00
    0.29009075E+01    0.15553725E+00
    0.29264226E+01    0.13997927E+00
    0.29547458E+01    0.14074971E+00
    0.29801992E+01    0.15824606E+00
    0.29972984E+01    0.18925603E+00
    0.30021930E+01    0.22740838E+00
    0.29938486E+01    0.26462138E+00
    0.29742930E+01    0.29325257E+00
    0.29478385E+01    0.30780354E+00
    0.29199855E+01    0.30584539E+00
    0.28960463E+01    0.28827883E+00
    0.28802342E+01    0.25876145E+00
    0.28751703E+01    0.22277928E+00
    0.28817469E+01    0.18682369E+00
    0.28989882E+01    0.15755515E+00
    0.29240271E+01    0.14070584E+00
    0.29523280E+01    0.13999804E+00
    0.29782577E+01    0.15612273E+00
    0.29962656E+01    0.18617606E+00
    0.30023053E+01    0.22401225E+00
    0.29950523E+01    0.26167685E+00
    0.29762968E+01    0.29131034E+00
    0.29502225E+01    0.30720218E+00
    0.29223240E+01    0.30667459E+00
    0.28978918E+01    0.29039860E+00
    0.28812334E+01    0.26176019E+00
    0.28751438E+01    0.22605414E+00
    0.28807011E+01    0.18983010E+00
    0.28970874E+01    0.15971478E+00
    0.29216009E+01    0.14157546E+00
    0.29498324E+01    0.13935968E+00
    0.29762102E+01    0.15405996E+00
    0.29951158E+01    0.18308896E+00
    0.30023147E+01    0.22054509E+00
    0.29962077E+01    0.25856988E+00
    0.29782955E+01    0.28921782E+00
    0.29526783E+01    0.30645382E+00
    0.29247239E+01    0.30739550E+00
    0.28997934E+01    0.29241036E+00
    0.28823056E+01    0.26466811E+00
    0.28752083E+01    0.22930222E+00
    0.28797468E+01    0.19286752E+00
    0.28952653E+01    0.16195170E+00
    0.29192223E+01    0.14256387E+00
    0.29473424E+01    0.13885961E+00
    0.29741198E+01    0.15212636E+00
    0.29938823E+01    0.18009117E+00
    0.30022190E+01    0.21711419E+00
    0.29972638E+01    0.25542325E+00
    0.29802398E+01    0.28701562E+00
    0.29551110E+01    0.30557788E+00
    0.29271212E+01    0.30798008E+00
    0.29016988E+01    0.29426999E+00
    0.28834071E+01    0.26738822E+00
    0.28753587E+01    0.23243934E+00
    0.28789268E+01    0.19576872E+00
    0.28936295E+01    0.16411296E+00
    0.29170393E+01    0.14359226E+00
    0.29450232E+01    0.13851368E+00
    0.29721162E+01    0.15042165E+00
    0.29926421E+01    0.17733725E+00
    0.30020353E+01    0.21390114E+00
    0.29981704E+01    0.25242336E+00
    0.29820436E+01    0.28481715E+00
    0.29573510E+01    0.30465226E+00
    0.29293350E+01    0.30840942E+00
    0.29035118E+01    0.29590365E+00
    0.28845294E+01    0.26993892E+00
    0.28755862E+01    0.23548295E+00
    0.28781887E+01    0.19869010E+00
    0.28920415E+01    0.16637037E+00
    0.29148837E+01    0.14472990E+00
    0.29426745E+01    0.13828226E+00
    0.29700516E+01    0.14881001E+00
    0.29913230E+01    0.17465397E+00
    0.30017567E+01    0.21069243E+00
    0.29990028E+01    0.24933357E+00
    0.29838192E+01    0.28248465E+00
    0.29596498E+01    0.30357666E+00
    0.29317470E+01    0.30875698E+00
    0.29055717E+01    0.29762019E+00
    0.28858421E+01    0.27268854E+00
    0.28759158E+01    0.23873941E+00
    0.28774746E+01    0.20187738E+00
    0.28903890E+01    0.16889229E+00
    0.29125690E+01    0.14608397E+00
    0.29401309E+01    0.13815992E+00
    0.29677844E+01    0.14719238E+00
    0.29898179E+01    0.17183456E+00
    0.30013568E+01    0.20725053E+00
    0.29997941E+01    0.24599793E+00
    0.29856153E+01    0.27993653E+00
    0.29620623E+01    0.30231179E+00
    0.29342757E+01    0.30898860E+00
    0.29077321E+01    0.29926071E+00
    0.28872541E+01    0.27540536E+00
    0.28763401E+01    0.24199751E+00
    0.28768462E+01    0.20512329E+00
    0.28887977E+01    0.17151836E+00
    0.29102758E+01    0.14757300E+00
    0.29375624E+01    0.13817411E+00
