 #  R                 Z
    0.29946875E+01    0.15468357E+00
    0.30005224E+01    0.19175165E+00
    0.29930176E+01    0.23002240E+00
    0.29717339E+01    0.26036907E+00
    0.29410501E+01    0.27307605E+00
    0.29103464E+01    0.26429010E+00
    0.28874047E+01    0.23947691E+00
    0.28751914E+01    0.20577932E+00
    0.28744952E+01    0.17007663E+00
    0.28845737E+01    0.13817236E+00
    0.29032411E+01    0.11503065E+00
    0.29273108E+01    0.10397597E+00
    0.29530266E+01    0.10666676E+00
    0.29763702E+01    0.12303397E+00
    0.29934272E+01    0.15128791E+00
    0.30004646E+01    0.18777011E+00
    0.29944060E+01    0.22626307E+00
    0.29744324E+01    0.25790755E+00
    0.29443266E+01    0.27274956E+00
    0.29132004E+01    0.26600642E+00
    0.28892846E+01    0.24245008E+00
    0.28759456E+01    0.20928550E+00
    0.28741487E+01    0.17350481E+00
    0.28832242E+01    0.14105014E+00
    0.29011473E+01    0.11690577E+00
    0.29248394E+01    0.10456677E+00
    0.29505147E+01    0.10588265E+00
    0.29742939E+01    0.12097048E+00
    0.29920703E+01    0.14812891E+00
    0.30002194E+01    0.18392907E+00
    0.29955652E+01    0.22249167E+00
    0.29769478E+01    0.25525137E+00
    0.29475340E+01    0.27213295E+00
    0.29161093E+01    0.26746122E+00
    0.28912867E+01    0.24524654E+00
    0.28768468E+01    0.21277303E+00
    0.28738871E+01    0.17708373E+00
    0.28819492E+01    0.14405306E+00
    0.28990463E+01    0.11895327E+00
    0.29222476E+01    0.10532373E+00
    0.29479111E+01    0.10520264E+00
    0.29719988E+01    0.11889180E+00
    0.29905708E+01    0.14492459E+00
    0.29998547E+01    0.18000169E+00
    0.29966290E+01    0.21856771E+00
    0.29794155E+01    0.25240832E+00
    0.29507903E+01    0.27131445E+00
    0.29191595E+01    0.26881809E+00
    0.28934231E+01    0.24804546E+00
    0.28778562E+01    0.21637727E+00
    0.28737139E+01    0.18075168E+00
    0.28806662E+01    0.14724006E+00
    0.28969799E+01    0.12110497E+00
    0.29196872E+01    0.10619292E+00
    0.29452745E+01    0.10463668E+00
    0.29697148E+01    0.11695123E+00
    0.29890609E+01    0.14188691E+00
    0.29994146E+01    0.17623927E+00
    0.29975499E+01    0.21482171E+00
    0.29816766E+01    0.24962630E+00
    0.29539040E+01    0.27037135E+00
    0.29220785E+01    0.26996821E+00
    0.28955292E+01    0.25069823E+00
    0.28788712E+01    0.21987022E+00
    0.28735698E+01    0.18432070E+00
    0.28795256E+01    0.15024906E+00
    0.28950349E+01    0.12319645E+00
    0.29172894E+01    0.10705734E+00
    0.29427435E+01    0.10414934E+00
    0.29674859E+01    0.11513394E+00
    0.29875117E+01    0.13894274E+00
    0.29989024E+01    0.17256284E+00
    0.29983623E+01    0.21108840E+00
    0.29838474E+01    0.24670724E+00
    0.29569553E+01    0.26925768E+00
    0.29250846E+01    0.27099217E+00
    0.28977349E+01    0.25328823E+00
    0.28799899E+01    0.22333269E+00
    0.28735221E+01    0.18791466E+00
    0.28783618E+01    0.15344386E+00
    0.28930022E+01    0.12544851E+00
    0.29147652E+01    0.10800939E+00
    0.29400995E+01    0.10367679E+00
    0.29651107E+01    0.11325674E+00
    0.29858126E+01    0.13584447E+00
    0.29982848E+01    0.16865882E+00
    0.29991455E+01    0.20712836E+00
    0.29860511E+01    0.24356947E+00
    0.29601802E+01    0.26791338E+00
    0.29283048E+01    0.27193563E+00
    0.29001067E+01    0.25589171E+00
    0.28812370E+01    0.22685901E+00
    0.28735610E+01    0.19163571E+00
    0.28772835E+01    0.15673814E+00
    0.28910741E+01    0.12779229E+00
    0.29122692E+01    0.10911819E+00
    0.29374798E+01    0.10336380E+00
    0.29627416E+01    0.11155607E+00
    0.29841363E+01    0.13299008E+00
    0.29975888E+01    0.16497958E+00
    0.29997660E+01    0.20329674E+00
    0.29880506E+01    0.24041691E+00
    0.29632238E+01    0.26640842E+00
    0.29314410E+01    0.27263601E+00
    0.29024821E+01    0.25827122E+00
    0.28825457E+01    0.23014440E+00
    0.28737251E+01    0.19517367E+00
    0.28763968E+01    0.15990158E+00
    0.28892722E+01    0.13017788E+00
    0.29098911E+01    0.11032808E+00
    0.29348910E+01    0.10320738E+00
    0.29603633E+01    0.11002383E+00
    0.29822784E+01    0.13018191E+00
    0.29967369E+01    0.16131050E+00
    0.30002233E+01    0.19933715E+00
    0.29899418E+01    0.23700656E+00
    0.29662608E+01    0.26459622E+00
    0.29347213E+01    0.27308283E+00
    0.29050742E+01    0.26056822E+00
    0.28840561E+01    0.23349088E+00
    0.28740412E+01    0.19888257E+00
    0.28755373E+01    0.16337960E+00
    0.28875185E+01    0.13277120E+00
    0.29075045E+01    0.11174238E+00
    0.29322129E+01    0.10323859E+00
    0.29578586E+01    0.10862125E+00
    0.29804026E+01    0.12755361E+00
    0.29957920E+01    0.15777795E+00
    0.30005191E+01    0.19537308E+00
    0.29916768E+01    0.23345970E+00
    0.29692077E+01    0.26254451E+00
    0.29380261E+01    0.27327065E+00
    0.29077496E+01    0.26265349E+00
    0.28856972E+01    0.23671155E+00
    0.28745177E+01    0.20251195E+00
    0.28748828E+01    0.16681785E+00
    0.28858650E+01    0.13550842E+00
    0.29052021E+01    0.11331976E+00
    0.29296253E+01    0.10345624E+00
    0.29553539E+01    0.10743025E+00
    0.29783443E+01    0.12502888E+00
    0.29946068E+01    0.15419320E+00
    0.30006022E+01    0.19123502E+00
    0.29932703E+01    0.22960510E+00
    0.29721195E+01    0.26015589E+00
    0.29414548E+01    0.27314655E+00
    0.29106520E+01    0.26459913E+00
    0.28875609E+01    0.23990778E+00
    0.28751981E+01    0.20620829E+00
    0.28743619E+01    0.17047231E+00
    0.28843336E+01    0.13845378E+00
    0.29029131E+01    0.11516757E+00
    0.29269946E+01    0.10391724E+00
    0.29527273E+01    0.10643872E+00
    0.29762037E+01    0.12269479E+00
    0.29933326E+01    0.15082284E+00
    0.30005199E+01    0.18726207E+00
    0.29946369E+01    0.22579570E+00
    0.29748279E+01    0.25762507E+00
    0.29447720E+01    0.27276783E+00
    0.29135632E+01    0.26629918E+00
    0.28894917E+01    0.24288699E+00
    0.28759875E+01    0.20977947E+00
    0.28739878E+01    0.17404729E+00
    0.28829226E+01    0.14143410E+00
    0.29007144E+01    0.11711399E+00
    0.29243168E+01    0.10453809E+00
    0.29500977E+01    0.10559137E+00
    0.29739374E+01    0.12044425E+00
    0.29919399E+01    0.14750389E+00
    0.30003078E+01    0.18330623E+00
    0.29958587E+01    0.22196309E+00
    0.29774105E+01    0.25496394E+00
    0.29480547E+01    0.27218466E+00
    0.29165262E+01    0.26784031E+00
    0.28915116E+01    0.24581597E+00
    0.28768606E+01    0.21338876E+00
    0.28737203E+01    0.17759920E+00
    0.28816151E+01    0.14444180E+00
    0.28986618E+01    0.11910407E+00
    0.29218353E+01    0.10526344E+00
    0.29475408E+01    0.10492845E+00
    0.29717483E+01    0.11845003E+00
    0.29904730E+01    0.14438410E+00
    0.29999392E+01    0.17946362E+00
    0.29968864E+01    0.21815129E+00
    0.29798092E+01    0.25217621E+00
    0.29512501E+01    0.27135660E+00
    0.29195025E+01    0.26913665E+00
    0.28936177E+01    0.24856665E+00
    0.28778524E+01    0.21696183E+00
    0.28735439E+01    0.18121835E+00
    0.28803962E+01    0.14753198E+00
    0.28966278E+01    0.12122620E+00
    0.29193659E+01    0.10610634E+00
    0.29449505E+01    0.10438092E+00
    0.29694897E+01    0.11654524E+00
    0.29889622E+01    0.14137880E+00
    0.29994836E+01    0.17572074E+00
    0.29977858E+01    0.21436884E+00
    0.29820646E+01    0.24933564E+00
    0.29543500E+01    0.27037331E+00
    0.29224514E+01    0.27026228E+00
    0.28957434E+01    0.25117616E+00
    0.28789049E+01    0.22036782E+00
    0.28734567E+01    0.18473936E+00
    0.28792390E+01    0.15062025E+00
    0.28946282E+01    0.12339486E+00
    0.29168880E+01    0.10700293E+00
    0.29423680E+01    0.10388206E+00
    0.29671789E+01    0.11467176E+00
    0.29873504E+01    0.13833653E+00
    0.29989283E+01    0.17188531E+00
    0.29986137E+01    0.21049547E+00
    0.29842965E+01    0.24630802E+00
    0.29575219E+01    0.26918875E+00
    0.29255789E+01    0.27130167E+00
    0.28980445E+01    0.25384924E+00
    0.28800778E+01    0.22390967E+00
    0.28734243E+01    0.18845140E+00
    0.28781550E+01    0.15380577E+00
    0.28927429E+01    0.12563646E+00
    0.29144461E+01    0.10804953E+00
    0.29398192E+01    0.10354342E+00
    0.29648895E+01    0.11298449E+00
    0.29857087E+01    0.13549382E+00
    0.29982929E+01    0.16826863E+00
    0.29992819E+01    0.20677390E+00
    0.29863113E+01    0.24330419E+00
    0.29604960E+01    0.26786228E+00
    0.29285802E+01    0.27209607E+00
    0.29002829E+01    0.25619918E+00
    0.28812892E+01    0.22719356E+00
    0.28735003E+01    0.19195843E+00
    0.28771246E+01    0.15699675E+00
    0.28908015E+01    0.12797067E+00
    0.29119504E+01    0.10914325E+00
    0.29371568E+01    0.10321891E+00
    0.29624878E+01    0.11125370E+00
    0.29839586E+01    0.13254466E+00
    0.29975549E+01    0.16445729E+00
    0.29999064E+01    0.20278149E+00
    0.29883815E+01    0.23996377E+00
    0.29636714E+01    0.26624000E+00
    0.29318862E+01    0.27278808E+00
    0.29028062E+01    0.25867617E+00
    0.28826928E+01    0.23064762E+00
    0.28736971E+01    0.19569201E+00
    0.28761907E+01    0.16037510E+00
    0.28889930E+01    0.13045379E+00
    0.29095529E+01    0.11042821E+00
    0.29345123E+01    0.10312380E+00
    0.29600421E+01    0.10974764E+00
    0.29821003E+01    0.12978799E+00
    0.29966572E+01    0.16078289E+00
    0.30003253E+01    0.19879751E+00
    0.29902457E+01    0.23649876E+00
    0.29667441E+01    0.26432285E+00
    0.29352403E+01    0.27316737E+00
    0.29054701E+01    0.26093784E+00
    0.28842782E+01    0.23400560E+00
    0.28740832E+01    0.19943451E+00
    0.28754216E+01    0.16386669E+00
    0.28872326E+01    0.13317016E+00
    0.29071623E+01    0.11192902E+00
    0.29318742E+01    0.10322440E+00
    0.29575181E+01    0.10841797E+00
    0.29801105E+01    0.12715172E+00
    0.29956133E+01    0.15719045E+00
    0.30005524E+01    0.19472306E+00
    0.29919533E+01    0.23282822E+00
    0.29697062E+01    0.26215582E+00
    0.29386040E+01    0.27326696E+00
    0.29082357E+01    0.26299769E+00
    0.28860042E+01    0.23724957E+00
    0.28746322E+01    0.20310882E+00
    0.28747966E+01    0.16741979E+00
    0.28856413E+01    0.13596945E+00
    0.29048426E+01    0.11362702E+00
    0.29292425E+01    0.10353622E+00
    0.29549460E+01    0.10729010E+00
    0.29780229E+01    0.12468962E+00
    0.29944626E+01    0.15377239E+00
    0.30006115E+01    0.19076888E+00
    0.29934497E+01    0.22916100E+00
    0.29724668E+01    0.25985535E+00
    0.29418610E+01    0.27312079E+00
    0.29110171E+01    0.26483783E+00
    0.28877983E+01    0.24031280E+00
    0.28752800E+01    0.20669319E+00
    0.28743152E+01    0.17089494E+00
    0.28841540E+01    0.13881585E+00
    0.29026157E+01    0.11541251E+00
    0.29265889E+01    0.10399414E+00
    0.29523748E+01    0.10630393E+00
    0.29758893E+01    0.12236200E+00
    0.29931442E+01    0.15034230E+00
    0.30004965E+01    0.18667907E+00
    0.29948227E+01    0.22525443E+00
    0.29752196E+01    0.25723064E+00
    0.29452680E+01    0.27268614E+00
    0.29140104E+01    0.26653596E+00
    0.28898047E+01    0.24336035E+00
    0.28761209E+01    0.21033722E+00
    0.28739667E+01    0.17455920E+00
    0.28827661E+01    0.14185854E+00
    0.29004794E+01    0.11739551E+00
    0.29240382E+01    0.10466870E+00
    0.29497666E+01    0.10555578E+00
    0.29736436E+01    0.12023370E+00
    0.29916894E+01    0.14708610E+00
    0.30001947E+01    0.18270670E+00
    0.29959729E+01    0.22133891E+00
    0.29777510E+01    0.25448709E+00
    0.29485362E+01    0.27199973E+00
    0.29170032E+01    0.26798257E+00
    0.28918742E+01    0.24618921E+00
    0.28770644E+01    0.21392611E+00
    0.28737304E+01    0.17820768E+00
    0.28814434E+01    0.14499300E+00
    0.28983338E+01    0.11950764E+00
    0.29214635E+01    0.10544144E+00
    0.29470924E+01    0.10488409E+00
    0.29713496E+01    0.11816991E+00
    0.29902207E+01    0.14394119E+00
    0.29998398E+01    0.17887492E+00
    0.29970054E+01    0.21750164E+00
    0.29801649E+01    0.25167364E+00
    0.29517662E+01    0.27115315E+00
    0.29200031E+01    0.26928294E+00
    0.28939955E+01    0.24896658E+00
    0.28780658E+01    0.21747983E+00
    0.28735624E+01    0.18182609E+00
    0.28802132E+01    0.14809486E+00
    0.28962790E+01    0.12164559E+00
    0.29188956E+01    0.10630175E+00
    0.29444780E+01    0.10431044E+00
    0.29690250E+01    0.11620148E+00
    0.29886181E+01    0.14078515E+00
    0.29993420E+01    0.17493348E+00
    0.29979333E+01    0.21356962E+00
    0.29824973E+01    0.24872607E+00
    0.29549798E+01    0.27012221E+00
    0.29230684E+01    0.27044847E+00
    0.28962070E+01    0.25168662E+00
    0.28791529E+01    0.22104230E+00
    0.28734612E+01    0.18549311E+00
    0.28790621E+01    0.15123899E+00
    0.28943334E+01    0.12382583E+00
    0.29164319E+01    0.10725997E+00
    0.29419301E+01    0.10387963E+00
    0.29667865E+01    0.11443926E+00
    0.29870651E+01    0.13791169E+00
    0.29988120E+01    0.17135061E+00
    0.29986936E+01    0.20991476E+00
    0.29845807E+01    0.24585689E+00
    0.29579643E+01    0.26896890E+00
    0.29260384E+01    0.27140121E+00
    0.28983787E+01    0.25414855E+00
    0.28802769E+01    0.22445154E+00
    0.28734325E+01    0.18904046E+00
    0.28779285E+01    0.15440269E+00
    0.28922919E+01    0.12609025E+00
    0.29139034E+01    0.10822466E+00
    0.29392217E+01    0.10341763E+00
    0.29643748E+01    0.11255248E+00
    0.29853335E+01    0.13478787E+00
    0.29981493E+01    0.16736628E+00
    0.29994592E+01    0.20584965E+00
    0.29868220E+01    0.24254556E+00
    0.29612619E+01    0.26751265E+00
    0.29293659E+01    0.27230054E+00
    0.29008731E+01    0.25682781E+00
    0.28816028E+01    0.22805363E+00
    0.28735150E+01    0.19287593E+00
    0.28768775E+01    0.15778820E+00
    0.28903924E+01    0.12851056E+00
    0.29114429E+01    0.10939854E+00
    0.29365901E+01    0.10318377E+00
    0.29619719E+01    0.11091974E+00
    0.29835803E+01    0.13195583E+00
    0.29973892E+01    0.16369707E+00
    0.30000131E+01    0.20197518E+00
    0.29887804E+01    0.23926891E+00
    0.29643157E+01    0.26586813E+00
    0.29325794E+01    0.27289345E+00
    0.29033488E+01    0.25916491E+00
    0.28830100E+01    0.23139459E+00
    0.28737482E+01    0.19651541E+00
    0.28760084E+01    0.16109730E+00
    0.28885744E+01    0.13102685E+00
    0.29090017E+01    0.11071991E+00
    0.29339660E+01    0.10309182E+00
    0.29595091E+01    0.10941387E+00
    0.29816848E+01    0.12917300E+00
    0.29964885E+01    0.16002682E+00
    0.30004169E+01    0.19795764E+00
    0.29906394E+01    0.23575874E+00
    0.29673904E+01    0.26391161E+00
    0.29359551E+01    0.27324247E+00
    0.29060516E+01    0.26143771E+00
    0.28846200E+01    0.23475690E+00
    0.28741575E+01    0.20025319E+00
    0.28752274E+01    0.16464977E+00
    0.28868558E+01    0.13373663E+00
    0.29066074E+01    0.11226360E+00
    0.29312358E+01    0.10323620E+00
