#               time            pressure         pressure_in        pressure_out             density          density_in         density_out              beta_n              beta_t              beta_p            current
 0.0000000000000E+00 3.8139155508497E+05 3.8135651879751E+05 3.5036287467608E+01 1.7651239554285E+21 1.7570412413274E+21 8.0827141010461E+18-1.8947438941687-154 3.1879681967347E-03 1.0075558996765E-01 2.0398668360320E+06
 1.9298294816867E-07 3.8139124088098E+05 3.8135601253763E+05 3.5228343350564E+01 1.7651231430215E+21 1.7570341680436E+21 8.0889749778937E+18-1.8947174191701-154 3.1879641553913E-03 1.0075290202209E-01 2.0398927532647E+06
 1.0719325575551E-05 3.8136695384699E+05 3.8133033665633E+05 3.6617190663975E+01 1.7650727484630E+21 1.7566443439159E+21 8.4284045471238E+18-1.8944324114451-154 3.1877583398875E-03 1.0072909642565E-01 2.0400679291253E+06
 3.7035182144005E-05 3.8130664906257E+05 3.8126707611312E+05 3.9572949453285E+01 1.7648958823926E+21 1.7556674419412E+21 9.2284404513796E+18-1.8940499204583-154 3.1872390360809E-03 1.0070483096693E-01 2.0401475018119E+06
 3.7543955370996E-05 3.8130508719772E+05 3.8126543011557E+05 3.9657082157940E+01 1.7649142157989E+21 1.7556575779877E+21 9.2566378112130E+18-1.8940417887286-154 3.1872244600812E-03 1.0070442680135E-01 2.0401469307022E+06
 1.2280733065279E-04 3.8074724891822E+05 3.8069585994368E+05 5.1388974538136E+01 1.8192991113448E+21 1.8070472885343E+21 1.2251822810507E+19-1.8898781311498-154 3.1794434975334E-03 1.0050752666785E-01 2.0396500726138E+06
 2.9824637444249E-04 3.7587985240681E+05 3.7581985649497E+05 5.9995911843695E+01 2.2425537875964E+21 2.2274038509472E+21 1.5149936649236E+19-1.8717779892074-154 3.1427749568332E-03 9.9741865397004E-02 2.0356227747136E+06
 3.3333418320043E-04 3.7392628422860E+05 3.7386534907161E+05 6.0935156985141E+01 2.3718672723164E+21 2.3563077043048E+21 1.5559568011531E+19-1.8634409859931-154 3.1268399721645E-03 9.9359118512868E-02 2.0343626087783E+06
 3.6842199195837E-04 3.7162687558432E+05 3.7156493843173E+05 6.1937152593454E+01 2.5106024478949E+21 2.4946535689874E+21 1.5948878907549E+19-1.8513770988670-154 3.1045766676779E-03 9.8780105000571E-02 2.0330396807157E+06
 4.0350980071631E-04 3.6891290738441E+05 3.6884998241920E+05 6.2924965211764E+01 2.6654742041190E+21 2.6491471672832E+21 1.6327036835727E+19-1.8361053984326-154 3.0767748327201E-03 9.8035100553646E-02 2.0315918423383E+06
 4.3859760947425E-04 3.6563690714014E+05 3.6557301801247E+05 6.3889127674406E+01 2.8393553545306E+21 2.8226576749994E+21 1.6697679531193E+19-1.8186715661142-154 3.0451827766713E-03 9.7180087807235E-02 2.0300065592788E+06
 4.7368541823219E-04 3.6242769098662E+05 3.6236283963901E+05 6.4851347608347E+01 3.0181144233271E+21 3.0010500741446E+21 1.7064349182554E+19-1.8026062195369-154 3.0157089463141E-03 9.6403855728019E-02 2.0282753493555E+06
 5.0877322699013E-04 3.5945286971421E+05 3.5938705940309E+05 6.5810311121115E+01 3.2060143605932E+21 3.1885867962213E+21 1.7427564371945E+19-1.7877381411552-154 2.9881013929198E-03 9.5696175130692E-02 2.0264214664928E+06
 5.4386103574807E-04 3.5624328745628E+05 3.5617652832265E+05 6.6759133629777E+01 3.4097081486676E+21 3.3919259429443E+21 1.7782205723327E+19-1.7732441472638-154 2.9609226145497E-03 9.5014986572172E-02 2.0244025477486E+06
 5.7894884450601E-04 3.5320404348060E+05 3.5313636345969E+05 6.7680020906823E+01 3.6190182545185E+21 3.6008982798182E+21 1.8119974700284E+19-1.7621468163626-154 2.9391344603729E-03 9.4525029710647E-02 2.0221609453864E+06
 6.1403665326395E-04 3.5086555011438E+05 3.5079701157684E+05 6.8538537533116E+01 3.8304066139219E+21 3.8119691808614E+21 1.8437433060515E+19-1.7555323330790-154 2.9246203540506E-03 9.4282320991640E-02 2.0197565203829E+06
 6.4912446202189E-04 3.4949088576257E+05 3.4942155559229E+05 6.9330170285043E+01 4.0392006263945E+21 4.0204652460693E+21 1.8735380325159E+19-1.7525933957143-154 2.9162062605656E-03 9.4238030636246E-02 2.0173229090666E+06
 6.8421227077983E-04 3.4900223764254E+05 3.4893219003928E+05 7.0047603256161E+01 4.2360943848612E+21 4.2170796972633E+21 1.9014687597861E+19-1.7510454116244-154 2.9101192628264E-03 9.4268398472739E-02 2.0148918107328E+06
 7.1930007953777E-04 3.4904212606518E+05 3.4897141708337E+05 7.0708981806290E+01 4.4177447347718E+21 4.3984663439212E+21 1.9278390850552E+19-1.7504238678937-154 2.9055518599026E-03 9.4349568819392E-02 2.0124437868951E+06
 7.5438788829570E-04 3.4896975628157E+05 3.4889840122230E+05 7.1355059275065E+01 4.5878547093458E+21 4.5683256979989E+21 1.9529011346908E+19-1.7505817055326-154 2.9021464706257E-03 9.4477314890151E-02 2.0099039103990E+06
 8.0000203968103E-04 3.4908646483883E+05 3.4901417595136E+05 7.2288887466572E+01 4.8012441261753E+21 4.7813414874766E+21 1.9902638698625E+19-1.7559819253928-154 2.9058917206962E-03 9.4938584702491E-02 2.0063086222413E+06
 8.1754594406000E-04 3.4860594753667E+05 3.4853216238572E+05 7.3785150946953E+01 4.8846690128840E+21 4.8643301096215E+21 2.0338903262548E+19-1.7559895063331-154 2.9037950819370E-03 9.5007953920949E-02 2.0048523890489E+06
