# R                      rho                    T                      currdens               pres                   eta_T                  radiation              Psi_N                  
# time step #000000
  2.240436891575869E+00  2.674820921120790E+19  3.075194428368964E+03  6.320689692803326E+05  1.317885457048575E+04  1.381557461969551E-06  4.764145319535930E+02  6.304091078861312E-01
  2.249842877198053E+00  2.698303521437005E+19  3.215571654819135E+03  6.583272471430509E+05  1.390142646986630E+04  1.292083361553934E-06  4.957582887009647E+02  6.163405416150656E-01
  2.259248862820237E+00  2.720434231782287E+19  3.356429592868649E+03  6.841598867262703E+05  1.462938763500675E+04  1.211606262176696E-06  5.148426543018620E+02  6.023072845480145E-01
  2.268654848442420E+00  2.741247019440706E+19  3.497511417010797E+03  7.095390743165917E+05  1.536093630572497E+04  1.139040353337538E-06  5.336238148203286E+02  5.883158155155970E-01
  2.278060834064604E+00  2.760777551494005E+19  3.638562635024118E+03  7.344387376922168E+05  1.609428343374463E+04  1.073453011046881E-06  5.520609716361571E+02  5.743725940884420E-01
  2.287466819686789E+00  2.779063094056985E+19  3.779332490263925E+03  7.588346735485186E+05  1.682766597987152E+04  1.014040194743251E-06  5.701165548180734E+02  5.604840034541678E-01
  2.296872805308971E+00  2.796142651298070E+19  3.919577422369156E+03  7.827050463420441E+05  1.755937066342142E+04  9.601054844194460E-07  5.877566611834832E+02  5.466560893392076E-01
  2.306278790931155E+00  2.812056043679021E+19  4.059056161144109E+03  8.060293177341697E+05  1.828771340685959E+04  9.110458437554820E-07  6.049503908569181E+02  5.328951212462733E-01
  2.315684776553337E+00  2.826844032558588E+19  4.197532589439923E+03  8.287886453120536E+05  1.901105854266093E+04  8.663366882087201E-07  6.216701591189208E+02  5.192073822819748E-01
  2.325090762175522E+00  2.840548244305519E+19  4.334777240202868E+03  8.509660123985838E+05  1.972783056458928E+04  8.255200864576906E-07  6.378918004195832E+02  5.055990916649336E-01
  2.334496747797704E+00  2.853211133480565E+19  4.470569468799838E+03  8.725464673728746E+05  2.043652885844327E+04  7.881947718490333E-07  6.535947149790500E+02  4.920762558496594E-01
  2.343902733419889E+00  2.864875808642103E+19  4.604698386745033E+03  8.935171339088436E+05  2.113573542675902E+04  7.540081473163134E-07  6.687618378283971E+02  4.786446386121590E-01
  2.353308719042072E+00  2.875585442442998E+19  4.736958846030369E+03  9.138663590246049E+05  2.182409598377925E+04  7.226506607175100E-07  6.833790274364142E+02  4.653102194179433E-01
  2.362714704664255E+00  2.885383407286755E+19  4.867154973974786E+03  9.335842049468876E+05  2.250033995024757E+04  6.938491482157145E-07  6.974353164852621E+02  4.520788959814993E-01
  2.372120690286439E+00  2.894313132142936E+19  4.995100849938732E+03  9.526624305498140E+05  2.316328501849902E+04  6.673619325650863E-07  7.109228095759927E+02  4.389564662143985E-01
  2.381526675908622E+00  2.902418069595795E+19  5.120622838667210E+03  9.710947557799715E+05  2.381184972603043E+04  6.429743354305824E-07  7.238367362028860E+02  4.259484330808045E-01
  2.390932661530806E+00  2.909741409579717E+19  5.243558215973015E+03  9.888764953091304E+05  2.444504627880458E+04  6.204955632221718E-07  7.361751004818263E+02  4.130601849174514E-01
  2.400338647152989E+00  2.916325820364610E+19  5.363753413213777E+03  1.006004146527753E+06  2.506197093162324E+04  5.997560198198154E-07  7.479383050082506E+02  4.002972134336010E-01
  2.409744632775173E+00  2.922213468518657E+19  5.481066463929612E+03  1.022475694864274E+06  2.566181569532800E+04  5.806042613025629E-07  7.591292022932068E+02  3.876648916482270E-01
  2.419150618397357E+00  2.927445896459347E+19  5.595367277275203E+03  1.038290553706978E+06  2.624386838854947E+04  5.629047631396712E-07  7.697529146713975E+02  3.751684696574864E-01
  2.428556604019540E+00  2.932063926816585E+19  5.706538331012402E+03  1.053449580758765E+06  2.680751444428320E+04  5.465359238134906E-07  7.798166918606187E+02  3.628130175123653E-01
  2.437962589641724E+00  2.936107574716186E+19  5.814475566655110E+03  1.067955133010781E+06  2.735223936289252E+04  5.313883107441657E-07  7.893297826369890E+02  3.506033364724772E-01
  2.447368575263907E+00  2.939615823732282E+19  5.919085345607918E+03  1.081810484270742E+06  2.787761098645140E+04  5.173636579870819E-07  7.983029641507201E+02  3.385443058100939E-01
  2.456774560886089E+00  2.942626618819507E+19  6.020286181813995E+03  1.095020041281556E+06  2.838328583237153E+04  5.043733332052555E-07  8.067485149151050E+02  3.266406956141289E-01
  2.466180546508274E+00  2.945176794013769E+19  6.118008920190037E+03  1.107589309152530E+06  2.886900732876436E+04  4.923372128869318E-07  8.146800484399168E+02  3.148971436972881E-01
  2.475586532130456E+00  2.947302000248748E+19  6.212196661421203E+03  1.119524823784000E+06  2.933460264049160E+04  4.811827255423457E-07  8.221123332319082E+02  3.033181550981614E-01
  2.484992517752640E+00  2.949036641967329E+19  6.302804633606882E+03  1.130834084515784E+06  2.977997915158027E+04  4.708440136645347E-07  8.290611187716304E+02  2.919081022235573E-01
  2.494398503374824E+00  2.950413824440117E+19  6.389800146257548E+03  1.141525509175644E+06  3.020512130977656E+04  4.612611837004693E-07  8.355429784825933E+02  2.806712082754925E-01
  2.503804488997009E+00  2.951465308876806E+19  6.473162630878585E+03  1.151608412078866E+06  3.061008786982993E+04  4.523796331983031E-07  8.415751689002225E+02  2.696115114245784E-01
  2.513210474619191E+00  2.952221459934056E+19  6.552882268463138E+03  1.161092759286953E+06  3.099500231986084E+04  4.441495982266398E-07  8.471753996382287E+02  2.587330099248776E-01
  2.522616460241375E+00  2.952711231016853E+19  6.628960319102807E+03  1.169989211061702E+06  3.136005172421320E+04  4.365255744912762E-07  8.523617442289485E+02  2.480395843945143E-01
  2.532022445863559E+00  2.952962144743494E+19  6.701408874824494E+03  1.178309077431833E+06  3.170548281750752E+04  4.294658611725185E-07  8.571525180454139E+02  2.375349870393255E-01
  2.541428431485741E+00  2.953000279458106E+19  6.770250481064770E+03  1.186064259836668E+06  3.203159758812884E+04  4.229321659543487E-07  8.615661592971035E+02  2.272228434296102E-01
  2.550834417107925E+00  2.952850263145764E+19  6.835517726201188E+03  1.193267194749614E+06  3.233874886103703E+04  4.168892541415224E-07  8.656211204969843E+02  2.171066544515481E-01
  2.560240402730108E+00  2.952535274391600E+19  6.897252802469428E+03  1.199930799382358E+06  3.262733591463345E+04  4.113046364162810E-07  8.693357703919389E+02  2.071897983553923E-01
  2.569646388352293E+00  2.952077049990499E+19  6.955507041393197E+03  1.206068419512168E+06  3.289780016129704E+04  4.061482905574280E-07  8.727283062080685E+02  1.974755328357408E-01
  2.579052373974476E+00  2.951495898801394E+19  7.010340426884452E+03  1.211693779454181E+06  3.315062091750932E+04  4.013924130796947E-07  8.758166759636279E+02  1.879669970844060E-01
  2.588458359596660E+00  2.950810721393968E+19  7.061821088414863E+03  1.216820934090047E+06  3.338631128184142E+04  3.970111973596334E-07  8.786185104483603E+02  1.786672137751995E-01
  2.597864345218842E+00  2.950039035077919E+19  7.110024777293858E+03  1.221464222933235E+06  3.360541413918977E+04  3.929806352182916E-07  8.811510644674747E+02  1.695790909347204E-01
  2.607270330841025E+00  2.949197003867577E+19  7.155034328254495E+03  1.225638226102887E+06  3.380849830216811E+04  3.892783393984019E-07  8.834311668214059E+02  1.607054236742507E-01
  2.616676316463210E+00  2.948299472968321E+19  7.196939108905909E+03  1.229357722119492E+06  3.399615479977641E+04  3.858833846793262E-07  8.854751784943603E+02  1.520488957648137E-01
  2.626082302085393E+00  2.947360007351287E+19  7.235834458540983E+03  1.232637647308823E+06  3.416899331561098E+04  3.827761657495417E-07  8.872989584170739E+02  1.436120810691500E-01
  2.635488287707577E+00  2.946390934033782E+19  7.271821118340951E+03  1.235493056670233E+06  3.432763877880178E+04  3.799382701555364E-07  8.889178362150933E+02  1.353974448528734E-01
  2.644894273329761E+00  2.945403387701320E+19  7.305004655255383E+03  1.237939086092189E+06  3.447272811022404E+04  3.773523648421898E-07  8.903465913690055E+02  1.274073450172214E-01
  2.654300258951943E+00  2.944407359299468E+19  7.335494880577337E+03  1.239990915640947E+06  3.460490711881824E+04  3.750020950825856E-07  8.915994381288619E+02  1.196440333665531E-01
  2.663706244574127E+00  2.943411747273970E+19  7.363405265296141E+03  1.241663733756301E+06  3.472482754706693E+04  3.728719946667802E-07  8.926900156253351E+02  1.121096570713662E-01
  2.673112230196311E+00  2.942424418542611E+19  7.388852165337836E+03  1.242972660983749E+06  3.483314346035292E+04  3.709474205873419E-07  8.936313757005994E+02  1.048063175491053E-01
  2.682518215818494E+00  2.941452259500188E+19  7.411954385199764E+03  1.243932739249892E+06  3.493050923203489E+04  3.692144712367385E-07  8.944359881216551E+02  9.773605118659794E-02
  2.691924201440678E+00  2.940501218800905E+19  7.432832922432073E+03  1.244558970165603E+06  3.501757838615787E+04  3.676599006649253E-07  8.951157539063809E+02  9.090073120709981E-02
  2.701330187062861E+00  2.939576373512635E+19  7.451610148553629E+03  1.244866234105861E+06  3.509500015564125E+04  3.662710836115904E-07  8.956820007201682E+02  8.430213068061938E-02
  2.710736172685044E+00  2.938681987998412E+19  7.468409237055399E+03  1.244869258053583E+06  3.516341720714586E+04  3.650359693903816E-07  8.961454904787915E+02  7.794192455046568E-02
  2.720142158307228E+00  2.937821573588677E+19  7.483353602568544E+03  1.244582583887369E+06  3.522346350431790E+04  3.639430423170501E-07  8.965164293352007E+02  7.182169268155397E-02
  2.729548143929412E+00  2.936997957249996E+19  7.496566218059390E+03  1.244020498495216E+06  3.527576177163780E+04  3.629812979818686E-07  8.968044767644626E+02  6.594298979980376E-02
  2.738954129551594E+00  2.936213348465397E+19  7.508168970253228E+03  1.243196954195384E+06  3.532092117557573E+04  3.621402231692932E-07  8.970187565187873E+02  6.030745316630071E-02
  2.748360115173778E+00  2.935469345872025E+19  7.518282939167500E+03  1.242125763214567E+06  3.535953867528937E+04  3.614097153705400E-07  8.971678862650979E+02  5.491643090022335E-02
  2.757766100795962E+00  2.934767026128193E+19  7.527027387205495E+03  1.240820449154378E+06  3.539219532626068E+04  3.607801021913451E-07  8.972599802872048E+02  4.977116594742192E-02
  2.767172086418145E+00  2.934107006653488E+19  7.534519229711364E+03  1.239294200734306E+06  3.541945457076600E+04  3.602421310989117E-07  8.973026650687941E+02  4.487283570697436E-02
