 #  R                 Z
    0.30095297E+01    0.22090178E+00
    0.30109835E+01    0.24473155E+00
    0.30048085E+01    0.26662236E+00
    0.29926925E+01    0.28273351E+00
    0.29769011E+01    0.29077835E+00
    0.29600453E+01    0.28996510E+00
    0.29442772E+01    0.28052629E+00
    0.29326422E+01    0.26300237E+00
    0.29265292E+01    0.23962642E+00
    0.29306277E+01    0.21143924E+00
    0.29480255E+01    0.19304074E+00
    0.29685451E+01    0.18503849E+00
    0.29878645E+01    0.18918805E+00
    0.30027140E+01    0.20476836E+00
    0.30102817E+01    0.22672723E+00
    0.30097731E+01    0.25030762E+00
    0.30020207E+01    0.27089561E+00
    0.29889129E+01    0.28502166E+00
    0.29725631E+01    0.29100353E+00
    0.29562327E+01    0.28790684E+00
    0.29409140E+01    0.27648669E+00
    0.29304188E+01    0.25728352E+00
    0.29262442E+01    0.23293670E+00
    0.29356644E+01    0.20272128E+00
    0.29544200E+01    0.18888322E+00
    0.29749910E+01    0.18560792E+00
    0.29931959E+01    0.19400418E+00
    0.30056375E+01    0.21197352E+00
    0.30104228E+01    0.23478707E+00
    0.30073163E+01    0.25756987E+00
    0.29975821E+01    0.27603456E+00
    0.29833021E+01    0.28728690E+00
    0.29665807E+01    0.29024789E+00
    0.29509134E+01    0.28424949E+00
    0.29377899E+01    0.27034773E+00
    0.29289837E+01    0.24972546E+00
    0.29275382E+01    0.22482365E+00
    0.29429907E+01    0.19733769E+00
    0.29625592E+01    0.18548646E+00
    0.29826736E+01    0.18655925E+00
    0.29992489E+01    0.19958787E+00
    0.30090203E+01    0.22002239E+00
    0.30108032E+01    0.24369781E+00
    0.30049647E+01    0.26558278E+00
    0.29931332E+01    0.28187708E+00
    0.29775234E+01    0.29024551E+00
    0.29607877E+01    0.28979902E+00
    0.29450718E+01    0.28081464E+00
    0.29333731E+01    0.26381037E+00
    0.29269390E+01    0.24092365E+00
    0.29300607E+01    0.21342025E+00
    0.29479138E+01    0.19390025E+00
    0.29682865E+01    0.18568873E+00
    0.29874729E+01    0.18968971E+00
    0.30022205E+01    0.20514755E+00
    0.30097092E+01    0.22684943E+00
    0.30091849E+01    0.25017146E+00
    0.30014861E+01    0.27048726E+00
    0.29885003E+01    0.28437627E+00
    0.29722613E+01    0.29026206E+00
    0.29562657E+01    0.28708154E+00
    0.29412891E+01    0.27584526E+00
    0.29309934E+01    0.25710061E+00
    0.29267868E+01    0.23341449E+00
    0.29360903E+01    0.20291822E+00
    0.29547674E+01    0.18915305E+00
    0.29752724E+01    0.18611366E+00
    0.29932864E+01    0.19470501E+00
    0.30054730E+01    0.21272955E+00
    0.30100082E+01    0.23542996E+00
    0.30067193E+01    0.25793450E+00
    0.29969021E+01    0.27604444E+00
    0.29826916E+01    0.28689766E+00
    0.29662705E+01    0.28951583E+00
    0.29508268E+01    0.28347065E+00
    0.29380460E+01    0.26970542E+00
    0.29294300E+01    0.24945794E+00
    0.29279329E+01    0.22503151E+00
    0.29436686E+01    0.19757850E+00
    0.29631969E+01    0.18605315E+00
    0.29830857E+01    0.18745353E+00
    0.29993041E+01    0.20070677E+00
    0.30086819E+01    0.22110078E+00
    0.30101191E+01    0.24454214E+00
    0.30040375E+01    0.26601740E+00
    0.29921297E+01    0.28176254E+00
    0.29765773E+01    0.28963703E+00
    0.29602062E+01    0.28873920E+00
    0.29446577E+01    0.27958907E+00
    0.29333340E+01    0.26258243E+00
    0.29272974E+01    0.24002129E+00
    0.29308077E+01    0.21219800E+00
    0.29488888E+01    0.19376234E+00
    0.29692934E+01    0.18632296E+00
    0.29881601E+01    0.19090893E+00
    0.30023880E+01    0.20669813E+00
    0.30093288E+01    0.22830741E+00
    0.30083485E+01    0.25129733E+00
    0.30003451E+01    0.27106034E+00
    0.29872404E+01    0.28429297E+00
    0.29710078E+01    0.28960006E+00
    0.29553721E+01    0.28586755E+00
    0.29410746E+01    0.27434298E+00
    0.29311381E+01    0.25570117E+00
    0.29272977E+01    0.23239954E+00
    0.29377900E+01    0.20173946E+00
    0.29566610E+01    0.18833383E+00
    0.29770671E+01    0.18645358E+00
    0.29946675E+01    0.19619873E+00
    0.30061584E+01    0.21474040E+00
    0.30099549E+01    0.23753680E+00
    0.30060052E+01    0.25978251E+00
    0.29956994E+01    0.27730322E+00
    0.29811502E+01    0.28745588E+00
    0.29648038E+01    0.28918144E+00
    0.29493966E+01    0.28245197E+00
    0.29370864E+01    0.26801816E+00
    0.29291121E+01    0.24742622E+00
    0.29284278E+01    0.22274399E+00
    0.29455202E+01    0.19703352E+00
    0.29651829E+01    0.18664005E+00
    0.29846360E+01    0.18908645E+00
    0.30000489E+01    0.20310213E+00
    0.30085029E+01    0.22377942E+00
    0.30090527E+01    0.24688621E+00
    0.30023092E+01    0.26754941E+00
    0.29900742E+01    0.28218378E+00
    0.29743609E+01    0.28906949E+00
    0.29585731E+01    0.28705663E+00
    0.29434526E+01    0.27721822E+00
    0.29327646E+01    0.25984076E+00
    0.29275841E+01    0.23741350E+00
    0.29332009E+01    0.20754165E+00
    0.29504360E+01    0.19188579E+00
    0.29710185E+01    0.18573956E+00
    0.29897955E+01    0.19143254E+00
    0.30035942E+01    0.20791004E+00
    0.30099880E+01    0.23001721E+00
    0.30084224E+01    0.25312609E+00
    0.29998864E+01    0.27271882E+00
    0.29864014E+01    0.28550109E+00
    0.29699034E+01    0.29025358E+00
    0.29540975E+01    0.28590457E+00
    0.29399262E+01    0.27359584E+00
    0.29301738E+01    0.25414557E+00
    0.29269870E+01    0.23008701E+00
    0.29390714E+01    0.20009035E+00
    0.29581786E+01    0.18686914E+00
    0.29786267E+01    0.18575978E+00
    0.29961557E+01    0.19644391E+00
    0.30073820E+01    0.21560940E+00
    0.30107769E+01    0.23892257E+00
    0.30063661E+01    0.26140521E+00
    0.29956061E+01    0.27892486E+00
    0.29806850E+01    0.28883641E+00
    0.29638920E+01    0.29022939E+00
    0.29481300E+01    0.28286400E+00
    0.29357002E+01    0.26748762E+00
    0.29279532E+01    0.24578571E+00
    0.29283496E+01    0.21986665E+00
    0.29458280E+01    0.19579621E+00
    0.29658116E+01    0.18583006E+00
    0.29853561E+01    0.18854853E+00
    0.30008237E+01    0.20292011E+00
    0.30092493E+01    0.22402552E+00
    0.30096838E+01    0.24741766E+00
    0.30027760E+01    0.26831061E+00
    0.29903127E+01    0.28312274E+00
    0.29743764E+01    0.29001311E+00
    0.29582472E+01    0.28792272E+00
    0.29428335E+01    0.27773606E+00
    0.29319729E+01    0.25975461E+00
    0.29268788E+01    0.23652859E+00
    0.29333372E+01    0.20653616E+00
    0.29505930E+01    0.19119097E+00
    0.29712093E+01    0.18516016E+00
    0.29901114E+01    0.19096373E+00
    0.30040253E+01    0.20763031E+00
    0.30104750E+01    0.22994779E+00
    0.30089077E+01    0.25329333E+00
    0.30002959E+01    0.27313530E+00
    0.29866861E+01    0.28609383E+00
    0.29700028E+01    0.29093600E+00
    0.29539580E+01    0.28655276E+00
    0.29394855E+01    0.27400979E+00
    0.29296452E+01    0.25412133E+00
    0.29265807E+01    0.22947955E+00
    0.29387163E+01    0.19980277E+00
    0.29579112E+01    0.18649051E+00
    0.29784612E+01    0.18522291E+00
    0.29961770E+01    0.19578226E+00
    0.30076294E+01    0.21498358E+00
    0.30112102E+01    0.23849892E+00
    0.30069376E+01    0.26118446E+00
    0.29962132E+01    0.27903822E+00
    0.29812541E+01    0.28924332E+00
    0.29641418E+01    0.29095419E+00
    0.29482026E+01    0.28360374E+00
    0.29354685E+01    0.26808300E+00
    0.29275207E+01    0.24598155E+00
    0.29280276E+01    0.21963818E+00
    0.29450080E+01    0.19550433E+00
    0.29650471E+01    0.18506594E+00
    0.29848611E+01    0.18728417E+00
    0.30008331E+01    0.20148490E+00
    0.30097602E+01    0.22262935E+00
    0.30106321E+01    0.24637511E+00
    0.30040027E+01    0.26785708E+00
    0.29916066E+01    0.28338073E+00
    0.29756422E+01    0.29084186E+00
    0.29590180E+01    0.28933674E+00
    0.29433029E+01    0.27939172E+00
    0.29319884E+01    0.26139971E+00
    0.29263989E+01    0.23775878E+00
    0.29318499E+01    0.20874600E+00
    0.29489183E+01    0.19197750E+00
    0.29695321E+01    0.18469436E+00
    0.29887830E+01    0.18937695E+00
