 #  R                 Z
    0.30052276E+01    0.30493174E+00
    0.30090154E+01    0.31146504E+00
    0.30114226E+01    0.31869338E+00
    0.30125345E+01    0.32594065E+00
    0.30122914E+01    0.33304821E+00
    0.30107894E+01    0.33983354E+00
    0.30083805E+01    0.34583003E+00
    0.30051880E+01    0.35098713E+00
    0.30012247E+01    0.35536315E+00
    0.29965291E+01    0.35897990E+00
    0.29911604E+01    0.36183439E+00
    0.29853074E+01    0.36377536E+00
    0.29792462E+01    0.36459653E+00
    0.29735044E+01    0.36400213E+00
    0.29682518E+01    0.36213134E+00
    0.29632921E+01    0.35932437E+00
    0.29587009E+01    0.35572854E+00
    0.29551059E+01    0.35121072E+00
    0.29523186E+01    0.34608542E+00
    0.29499015E+01    0.34069515E+00
    0.29489968E+01    0.33482611E+00
    0.29485599E+01    0.32888146E+00
    0.29486145E+01    0.32305212E+00
    0.29501233E+01    0.31708345E+00
    0.29518677E+01    0.31134784E+00
    0.29531228E+01    0.30637231E+00
    0.29549994E+01    0.30192915E+00
    0.29580390E+01    0.29812089E+00
    0.29621898E+01    0.29518376E+00
    0.29673977E+01    0.29277681E+00
    0.29737056E+01    0.29131206E+00
    0.29806037E+01    0.29120859E+00
    0.29875947E+01    0.29254260E+00
    0.29942807E+01    0.29563955E+00
    0.30003288E+01    0.30001230E+00
    0.30055306E+01    0.30504192E+00
    0.30092864E+01    0.31164609E+00
    0.30116342E+01    0.31895889E+00
    0.30127279E+01    0.32618284E+00
    0.30124631E+01    0.33330371E+00
    0.30109517E+01    0.34007642E+00
    0.30085380E+01    0.34606103E+00
    0.30053564E+01    0.35119662E+00
    0.30013811E+01    0.35557482E+00
    0.29967028E+01    0.35917329E+00
    0.29913296E+01    0.36203352E+00
    0.29854641E+01    0.36398820E+00
    0.29793581E+01    0.36485065E+00
    0.29735627E+01    0.36429451E+00
    0.29682609E+01    0.36244075E+00
    0.29632569E+01    0.35963958E+00
    0.29586193E+01    0.35604481E+00
    0.29550016E+01    0.35151209E+00
    0.29522744E+01    0.34635800E+00
    0.29498413E+01    0.34095692E+00
    0.29488756E+01    0.33508888E+00
    0.29485088E+01    0.32911008E+00
    0.29484755E+01    0.32327752E+00
    0.29499390E+01    0.31730114E+00
    0.29517694E+01    0.31149913E+00
    0.29530972E+01    0.30647039E+00
    0.29549234E+01    0.30204418E+00
    0.29579936E+01    0.29815883E+00
    0.29620342E+01    0.29532996E+00
    0.29671412E+01    0.29297703E+00
    0.29732950E+01    0.29159501E+00
    0.29800598E+01    0.29151850E+00
    0.29869624E+01    0.29271388E+00
    0.29936477E+01    0.29553682E+00
    0.29996917E+01    0.29985199E+00
    0.30049418E+01    0.30475842E+00
    0.30087756E+01    0.31122662E+00
    0.30112765E+01    0.31833824E+00
    0.30124284E+01    0.32561198E+00
    0.30122828E+01    0.33267188E+00
    0.30108618E+01    0.33946618E+00
    0.30085299E+01    0.34547504E+00
    0.30054105E+01    0.35066625E+00
    0.30014260E+01    0.35514203E+00
    0.29968591E+01    0.35873224E+00
    0.29915364E+01    0.36162807E+00
    0.29856696E+01    0.36366760E+00
    0.29794868E+01    0.36462842E+00
    0.29737046E+01    0.36410114E+00
    0.29684741E+01    0.36225591E+00
    0.29635554E+01    0.35946721E+00
    0.29589079E+01    0.35592284E+00
    0.29552356E+01    0.35145174E+00
    0.29524163E+01    0.34634165E+00
    0.29499498E+01    0.34096445E+00
    0.29489765E+01    0.33511070E+00
    0.29485737E+01    0.32915056E+00
    0.29485460E+01    0.32332524E+00
    0.29500207E+01    0.31735354E+00
    0.29518556E+01    0.31156084E+00
    0.29531773E+01    0.30654618E+00
    0.29549919E+01    0.30213830E+00
    0.29580640E+01    0.29824200E+00
    0.29621090E+01    0.29538330E+00
    0.29671995E+01    0.29304534E+00
    0.29733503E+01    0.29164431E+00
    0.29801050E+01    0.29157139E+00
    0.29869988E+01    0.29276143E+00
    0.29936796E+01    0.29557229E+00
    0.29997137E+01    0.29989868E+00
    0.30049621E+01    0.30478956E+00
    0.30087891E+01    0.31126113E+00
    0.30112779E+01    0.31838425E+00
    0.30124064E+01    0.32567968E+00
    0.30122355E+01    0.33274350E+00
    0.30107689E+01    0.33955933E+00
    0.30083990E+01    0.34556630E+00
    0.30052640E+01    0.35072821E+00
    0.30012794E+01    0.35517091E+00
    0.29966695E+01    0.35876607E+00
    0.29913083E+01    0.36165902E+00
    0.29854502E+01    0.36365028E+00
    0.29793360E+01    0.36453278E+00
    0.29735946E+01    0.36395876E+00
    0.29683807E+01    0.36209150E+00
    0.29634654E+01    0.35929308E+00
    0.29588466E+01    0.35573160E+00
    0.29552125E+01    0.35124447E+00
    0.29524024E+01    0.34613411E+00
    0.29499658E+01    0.34075769E+00
    0.29490432E+01    0.33490010E+00
    0.29486095E+01    0.32895820E+00
    0.29486410E+01    0.32313663E+00
    0.29501343E+01    0.31717488E+00
    0.29518840E+01    0.31143868E+00
    0.29531628E+01    0.30644803E+00
    0.29549732E+01    0.30204882E+00
    0.29580279E+01    0.29818911E+00
    0.29620677E+01    0.29535395E+00
    0.29671675E+01    0.29300742E+00
    0.29733189E+01    0.29161965E+00
    0.29800781E+01    0.29154500E+00
    0.29869767E+01    0.29273493E+00
