 #  R                 Z
    0.30280327E+01    0.14939340E+00
    0.30964249E+01    0.11539539E+00
    0.31382282E+01    0.67148814E-01
    0.32089502E+01    0.10910627E+00
    0.32073100E+01   -0.35680683E-01
    0.31784843E+01   -0.16618476E+00
    0.30832438E+01   -0.30779603E+00
    0.29011469E+01   -0.39118464E+00
    0.27287595E+01   -0.34110072E+00
    0.27011545E+01   -0.23058008E+00
    0.27259412E+01   -0.12930288E+00
    0.27768038E+01   -0.68567986E-01
    0.27881719E+01   -0.38885490E-01
    0.28075212E+01   -0.28154479E-01
    0.28183589E+01   -0.38088632E-01
    0.28291340E+01   -0.70777061E-01
    0.28820597E+01   -0.11849447E+00
    0.29766000E+01   -0.87261165E-01
    0.29456245E+01    0.16213704E-01
    0.28872377E+01    0.20560373E+00
    0.27556700E+01    0.26230923E+00
    0.26700594E+01    0.26334051E+00
    0.26267571E+01    0.25663719E+00
    0.26086258E+01    0.27004490E+00
    0.25986100E+01    0.29453202E+00
    0.25811213E+01    0.26644291E+00
    0.25423189E+01    0.23403879E+00
    0.25196958E+01    0.22687079E+00
    0.25060174E+01    0.21508158E+00
    0.24982033E+01    0.26190823E+00
    0.25010885E+01    0.31619108E+00
    0.25091046E+01    0.36398898E+00
    0.25163888E+01    0.41598700E+00
    0.25207995E+01    0.47754561E+00
    0.25259966E+01    0.55510006E+00
    0.25606157E+01    0.67500777E+00
    0.26805694E+01    0.78682539E+00
    0.28170785E+01    0.81020628E+00
    0.28916301E+01    0.80835684E+00
    0.29168862E+01    0.80536770E+00
    0.29408193E+01    0.80969357E+00
    0.29950391E+01    0.81722691E+00
    0.31254924E+01    0.77128961E+00
    0.33117693E+01    0.45564099E+00
    0.33113279E+01    0.28361667E+00
    0.32394753E+01    0.28824415E+00
    0.31992864E+01    0.27528600E+00
    0.31709754E+01    0.26991654E+00
    0.31508160E+01    0.24428002E+00
    0.31094127E+01    0.25101025E+00
    0.30586439E+01    0.22074380E+00
    0.30425601E+01    0.13628366E+00
    0.31127817E+01    0.12201946E+00
    0.31467741E+01    0.90016209E-01
    0.32024593E+01    0.13926344E+00
    0.32293909E+01    0.93902565E-01
    0.32142838E+01   -0.64077129E-01
    0.31521741E+01   -0.21599632E+00
    0.30140134E+01   -0.35405093E+00
    0.28065812E+01   -0.36961371E+00
    0.27550395E+01   -0.29256000E+00
