 #  R                 Z
    0.29978830E+01    0.22388397E+00
    0.29880395E+01    0.24394870E+00
    0.29726062E+01    0.25599706E+00
    0.29547555E+01    0.25782378E+00
    0.29378149E+01    0.24914652E+00
    0.29255702E+01    0.23109744E+00
    0.29210769E+01    0.20847368E+00
    0.29244311E+01    0.18509106E+00
    0.29348175E+01    0.16608485E+00
    0.29503817E+01    0.15496503E+00
    0.29681461E+01    0.15409096E+00
    0.29845042E+01    0.16380134E+00
    0.29960373E+01    0.18226337E+00
    0.30002512E+01    0.20573289E+00
    0.29962002E+01    0.22913606E+00
    0.29847854E+01    0.24764653E+00
    0.29684956E+01    0.25737366E+00
    0.29506169E+01    0.25667099E+00
    0.29342680E+01    0.24563866E+00
    0.29238358E+01    0.22595266E+00
    0.29211177E+01    0.20279378E+00
    0.29263329E+01    0.18001026E+00
    0.29381365E+01    0.16260690E+00
    0.29545371E+01    0.15377274E+00
    0.29722718E+01    0.15543959E+00
    0.29877776E+01    0.16745140E+00
    0.29977676E+01    0.18749092E+00
    0.30000535E+01    0.21137573E+00
    0.29941449E+01    0.23405559E+00
    0.29813379E+01    0.25077454E+00
    0.29643944E+01    0.25815338E+00
    0.29466548E+01    0.25500290E+00
    0.29311637E+01    0.24170057E+00
    0.29226007E+01    0.22084755E+00
    0.29216331E+01    0.19736318E+00
    0.29285001E+01    0.17546390E+00
    0.29416012E+01    0.15976693E+00
    0.29586144E+01    0.15325272E+00
    0.29761219E+01    0.15736091E+00
    0.29906150E+01    0.17146641E+00
    0.29989852E+01    0.19280558E+00
    0.29993721E+01    0.21685206E+00
    0.29917125E+01    0.23854363E+00
    0.29776511E+01    0.25338220E+00
    0.29601853E+01    0.25838321E+00
    0.29427700E+01    0.25278222E+00
    0.29285012E+01    0.23732106E+00
    0.29217369E+01    0.21555582E+00
    0.29226184E+01    0.19195335E+00
    0.29310514E+01    0.17120500E+00
    0.29452993E+01    0.15739869E+00
    0.29627315E+01    0.15328487E+00
    0.29798247E+01    0.15980308E+00
    0.29931405E+01    0.17585639E+00
    0.29997927E+01    0.19827937E+00
    0.29982699E+01    0.22222689E+00
    0.29889351E+01    0.24269883E+00
    0.29738012E+01    0.25543189E+00
    0.29559952E+01    0.25802477E+00
    0.29389388E+01    0.25005183E+00
    0.29261781E+01    0.23255150E+00
    0.29211811E+01    0.21008284E+00
    0.29239300E+01    0.18666081E+00
    0.29339021E+01    0.16720627E+00
    0.29491747E+01    0.15544075E+00
    0.29668896E+01    0.15380284E+00
    0.29834223E+01    0.16273505E+00
    0.29954248E+01    0.18067789E+00
    0.30002262E+01    0.20389918E+00
    0.29967880E+01    0.22748220E+00
    0.29858572E+01    0.24652780E+00
    0.29698178E+01    0.25700381E+00
    0.29519125E+01    0.25711177E+00
    0.29353535E+01    0.24681828E+00
    0.29243339E+01    0.22760530E+00
    0.29210441E+01    0.20461649E+00
    0.29256543E+01    0.18161630E+00
    0.29370277E+01    0.16366225E+00
    0.29531677E+01    0.15406816E+00
    0.29709319E+01    0.15489641E+00
    0.29867205E+01    0.16612326E+00
    0.29972702E+01    0.18570272E+00
    0.30002047E+01    0.20948196E+00
    0.29949098E+01    0.23246052E+00
    0.29825468E+01    0.24981074E+00
    0.29657991E+01    0.25798845E+00
    0.29479755E+01    0.25566533E+00
    0.29321375E+01    0.24311023E+00
    0.29229293E+01    0.22257043E+00
    0.29213741E+01    0.19914602E+00
    0.29276872E+01    0.17691345E+00
    0.29403568E+01    0.16059848E+00
    0.29572122E+01    0.15327218E+00
    0.29748517E+01    0.15655872E+00
    0.29897239E+01    0.16997050E+00
    0.29986947E+01    0.19097862E+00
    0.29997210E+01    0.21508886E+00
    0.29926117E+01    0.23717696E+00
    0.29789155E+01    0.25268380E+00
    0.29615494E+01    0.25849022E+00
    0.29439889E+01    0.25365839E+00
    0.29292452E+01    0.23884396E+00
    0.29218846E+01    0.21726788E+00
    0.29221648E+01    0.19364052E+00
    0.29301245E+01    0.17245089E+00
    0.29440479E+01    0.15798756E+00
    0.29614219E+01    0.15309067E+00
    0.29787476E+01    0.15890854E+00
    0.29925064E+01    0.17450241E+00
    0.29996699E+01    0.19664325E+00
    0.29987075E+01    0.22067013E+00
    0.29898499E+01    0.24155635E+00
    0.29749977E+01    0.25495208E+00
    0.29572578E+01    0.25826979E+00
    0.29400400E+01    0.25100031E+00
    0.29267785E+01    0.23406063E+00
    0.29212401E+01    0.21176720E+00
    0.29234072E+01    0.18823985E+00
    0.29328725E+01    0.16833585E+00
    0.29478750E+01    0.15586352E+00
    0.29655767E+01    0.15342174E+00
    0.29824091E+01    0.16168389E+00
    0.29948748E+01    0.17916632E+00
    0.30002400E+01    0.20223855E+00
    0.29973525E+01    0.22602422E+00
    0.29868561E+01    0.24553578E+00
    0.29710573E+01    0.25668211E+00
    0.29531173E+01    0.25754786E+00
    0.29363189E+01    0.24792254E+00
    0.29247261E+01    0.22911306E+00
    0.29209361E+01    0.20616822E+00
    0.29250301E+01    0.18296202E+00
    0.29360458E+01    0.16451315E+00
    0.29520256E+01    0.15427410E+00
    0.29698609E+01    0.15443702E+00
    0.29859380E+01    0.16512950E+00
    0.29968858E+01    0.18430986E+00
    0.30003259E+01    0.20804203E+00
    0.29954977E+01    0.23124430E+00
    0.29834584E+01    0.24910875E+00
    0.29668257E+01    0.25790785E+00
    0.29489312E+01    0.25618503E+00
    0.29328715E+01    0.24416937E+00
    0.29231684E+01    0.22387641E+00
    0.29211659E+01    0.20050164E+00
    0.29270921E+01    0.17799317E+00
    0.29395369E+01    0.16123588E+00
    0.29562404E+01    0.15335377E+00
    0.29739443E+01    0.15605855E+00
    0.29890756E+01    0.16899143E+00
    0.29984267E+01    0.18966768E+00
    0.29999182E+01    0.21372611E+00
    0.29932419E+01    0.23607592E+00
    0.29798241E+01    0.25210692E+00
    0.29625850E+01    0.25847998E+00
    0.29449375E+01    0.25424355E+00
    0.29298747E+01    0.23994719E+00
    0.29220703E+01    0.21860467E+00
    0.29218924E+01    0.19498112E+00
    0.29294259E+01    0.17350628E+00
    0.29430294E+01    0.15852866E+00
    0.29603108E+01    0.15297545E+00
    0.29777390E+01    0.15810231E+00
    0.29918239E+01    0.17308973E+00
    0.29995331E+01    0.19500576E+00
    0.29991285E+01    0.21917340E+00
    0.29907211E+01    0.24047940E+00
    0.29761205E+01    0.25452679E+00
    0.29584213E+01    0.25853026E+00
    0.29410439E+01    0.25190264E+00
    0.29272839E+01    0.23544496E+00
    0.29212478E+01    0.21323628E+00
    0.29229694E+01    0.18953436E+00
    0.29320959E+01    0.16924246E+00
    0.29468663E+01    0.15622959E+00
    0.29645421E+01    0.15316087E+00
    0.29815117E+01    0.16077206E+00
    0.29943598E+01    0.17778791E+00
    0.30002362E+01    0.20069163E+00
    0.29978659E+01    0.22462229E+00
    0.29877807E+01    0.24459473E+00
    0.29721808E+01    0.25640024E+00
    0.29542454E+01    0.25793294E+00
    0.29372919E+01    0.24893838E+00
    0.29251828E+01    0.23058363E+00
    0.29208877E+01    0.20775151E+00
    0.29244923E+01    0.18433713E+00
    0.29351086E+01    0.16544441E+00
    0.29508534E+01    0.15455995E+00
    0.29686790E+01    0.15398410E+00
    0.29849899E+01    0.16397535E+00
    0.29964432E+01    0.18279431E+00
    0.30004343E+01    0.20641660E+00
    0.29961370E+01    0.22985717E+00
    0.29845173E+01    0.24819420E+00
    0.29680434E+01    0.25773932E+00
    0.29500809E+01    0.25674007E+00
    0.29337548E+01    0.24536605E+00
    0.29234926E+01    0.22542896E+00
    0.29209691E+01    0.20210956E+00
    0.29264067E+01    0.17931590E+00
    0.29384567E+01    0.16202805E+00
    0.29550330E+01    0.15345216E+00
    0.29728513E+01    0.15546844E+00
    0.29883199E+01    0.16787472E+00
    0.29981188E+01    0.18821294E+00
    0.30001278E+01    0.21224831E+00
    0.29939193E+01    0.23488855E+00
    0.29808611E+01    0.25138609E+00
    0.29637674E+01    0.25842194E+00
    0.29460061E+01    0.25487779E+00
    0.29306234E+01    0.24118121E+00
    0.29222980E+01    0.22008380E+00
    0.29216078E+01    0.19648342E+00
    0.29287193E+01    0.17467660E+00
    0.29420245E+01    0.15917787E+00
    0.29591895E+01    0.15297065E+00
    0.29767715E+01    0.15748683E+00
    0.29911819E+01    0.17201406E+00
    0.29993103E+01    0.19363209E+00
    0.29993886E+01    0.21777218E+00
    0.29914226E+01    0.23937331E+00
    0.29771173E+01    0.25395174E+00
    0.29595072E+01    0.25859221E+00
    0.29420158E+01    0.25258288E+00
    0.29279018E+01    0.23666491E+00
    0.29214055E+01    0.21463187E+00
    0.29226254E+01    0.19091794E+00
    0.29313763E+01    0.17028137E+00
    0.29458875E+01    0.15675298E+00
    0.29634754E+01    0.15305120E+00
    0.29805922E+01    0.16005725E+00
    0.29937530E+01    0.17655505E+00
    0.30001091E+01    0.19927124E+00
    0.29982239E+01    0.22329579E+00
    0.29885433E+01    0.24361617E+00
    0.29731657E+01    0.25599791E+00
    0.29552966E+01    0.25812494E+00
    0.29382202E+01    0.24972725E+00
    0.29256724E+01    0.23182063E+00
    0.29209435E+01    0.20914989E+00
    0.29240818E+01    0.18562843E+00
    0.29343428E+01    0.16636842E+00
    0.29498491E+01    0.15494389E+00
    0.29676601E+01    0.15375171E+00
    0.29841442E+01    0.16315890E+00
    0.29959292E+01    0.18147525E+00
    0.30004138E+01    0.20492114E+00
    0.29966153E+01    0.22850772E+00
    0.29853616E+01    0.24733986E+00
    0.29691456E+01    0.25739982E+00
