 #  R                 Z
    0.29971085E+01    0.22488278E+00
    0.29864040E+01    0.24525398E+00
    0.29702289E+01    0.25692691E+00
    0.29518136E+01    0.25788637E+00
    0.29342891E+01    0.24786291E+00
    0.29219343E+01    0.22842119E+00
    0.29169341E+01    0.20440367E+00
    0.29198598E+01    0.18008662E+00
    0.29300757E+01    0.16023895E+00
    0.29458920E+01    0.14846693E+00
    0.29643000E+01    0.14719664E+00
    0.29817243E+01    0.15690124E+00
    0.29945504E+01    0.17582425E+00
    0.30000559E+01    0.20019373E+00
    0.29970952E+01    0.22509405E+00
    0.29863187E+01    0.24544679E+00
    0.29701358E+01    0.25699710E+00
    0.29517407E+01    0.25788108E+00
    0.29342297E+01    0.24781432E+00
    0.29218838E+01    0.22833047E+00
    0.29169266E+01    0.20423112E+00
    0.29199140E+01    0.17992245E+00
    0.29301707E+01    0.16012188E+00
    0.29460062E+01    0.14841773E+00
    0.29644038E+01    0.14720893E+00
    0.29818048E+01    0.15696022E+00
    0.29945945E+01    0.17589859E+00
    0.30000790E+01    0.20034523E+00
    0.29970698E+01    0.22521644E+00
    0.29862716E+01    0.24550441E+00
    0.29700909E+01    0.25700279E+00
    0.29517091E+01    0.25785588E+00
    0.29342025E+01    0.24777102E+00
    0.29218885E+01    0.22829640E+00
    0.29169400E+01    0.20421015E+00
    0.29199389E+01    0.17990675E+00
    0.29301964E+01    0.16012219E+00
    0.29460274E+01    0.14843222E+00
    0.29644146E+01    0.14723166E+00
    0.29818043E+01    0.15698293E+00
    0.29945855E+01    0.17591588E+00
    0.30000658E+01    0.20035992E+00
    0.29970530E+01    0.22522053E+00
    0.29862560E+01    0.24549601E+00
    0.29700796E+01    0.25698597E+00
    0.29517048E+01    0.25783416E+00
    0.29342042E+01    0.24774917E+00
    0.29219004E+01    0.22828244E+00
    0.29169549E+01    0.20420741E+00
    0.29199567E+01    0.17991060E+00
    0.29302106E+01    0.16013606E+00
    0.29460346E+01    0.14845215E+00
    0.29644135E+01    0.14725267E+00
    0.29817957E+01    0.15699993E+00
    0.29945720E+01    0.17592544E+00
    0.30000501E+01    0.20035850E+00
    0.29970391E+01    0.22521108E+00
    0.29862452E+01    0.24548222E+00
    0.29700728E+01    0.25696899E+00
    0.29517035E+01    0.25781535E+00
    0.29342082E+01    0.24773187E+00
    0.29219113E+01    0.22827146E+00
    0.29169683E+01    0.20420506E+00
    0.29199724E+01    0.17991424E+00
    0.29302212E+01    0.16014906E+00
    0.29460400E+01    0.14846964E+00
    0.29644118E+01    0.14727064E+00
    0.29817878E+01    0.15701426E+00
    0.29945600E+01    0.17593304E+00
    0.30000365E+01    0.20035618E+00
    0.29970274E+01    0.22520191E+00
    0.29862363E+01    0.24547013E+00
    0.29700673E+01    0.25695447E+00
    0.29517026E+01    0.25779953E+00
    0.29342117E+01    0.24771740E+00
    0.29219205E+01    0.22826248E+00
    0.29169793E+01    0.20420451E+00
    0.29199850E+01    0.17991839E+00
    0.29302293E+01    0.16016050E+00
    0.29460436E+01    0.14848431E+00
    0.29644097E+01    0.14728529E+00
    0.29817809E+01    0.15702569E+00
    0.29945498E+01    0.17593902E+00
    0.30000249E+01    0.20035290E+00
    0.29970179E+01    0.22519325E+00
    0.29862291E+01    0.24545983E+00
    0.29700631E+01    0.25694230E+00
    0.29517019E+01    0.25778651E+00
    0.29342147E+01    0.24770561E+00
    0.29219281E+01    0.22825516E+00
    0.29169882E+01    0.20420477E+00
    0.29199944E+01    0.17992302E+00
    0.29302350E+01    0.16017032E+00
    0.29460455E+01    0.14849617E+00
    0.29644073E+01    0.14729669E+00
    0.29817750E+01    0.15703426E+00
    0.29945416E+01    0.17594320E+00
    0.30000158E+01    0.20034927E+00
    0.29970106E+01    0.22518545E+00
    0.29862239E+01    0.24545127E+00
    0.29700602E+01    0.25693262E+00
    0.29517017E+01    0.25777656E+00
    0.29342173E+01    0.24769678E+00
    0.29219341E+01    0.22824982E+00
    0.29169951E+01    0.20420495E+00
    0.29200015E+01    0.17992674E+00
    0.29302397E+01    0.16017798E+00
    0.29460473E+01    0.14850559E+00
    0.29644057E+01    0.14730588E+00
    0.29817704E+01    0.15704130E+00
    0.29945351E+01    0.17594672E+00
    0.30000085E+01    0.20034679E+00
    0.29970048E+01    0.22517948E+00
    0.29862197E+01    0.24544450E+00
    0.29700578E+01    0.25692490E+00
    0.29517015E+01    0.25776853E+00
    0.29342193E+01    0.24768961E+00
    0.29219388E+01    0.22824548E+00
    0.29170006E+01    0.20420542E+00
    0.29200067E+01    0.17993021E+00
    0.29302431E+01    0.16018423E+00
    0.29460483E+01    0.14851306E+00
    0.29644041E+01    0.14731301E+00
    0.29817667E+01    0.15704669E+00
    0.29945300E+01    0.17594932E+00
    0.30000028E+01    0.20034460E+00
    0.29970003E+01    0.22517462E+00
    0.29862164E+01    0.24543921E+00
    0.29700560E+01    0.25691894E+00
    0.29517014E+01    0.25776230E+00
    0.29342209E+01    0.24768405E+00
    0.29219425E+01    0.22824205E+00
    0.29170048E+01    0.20420591E+00
    0.29200107E+01    0.17993297E+00
    0.29302456E+01    0.16018905E+00
    0.29460491E+01    0.14851876E+00
    0.29644029E+01    0.14731841E+00
