 #  R                 Z
    0.29987910E+01    0.24296278E+00
    0.29835202E+01    0.28090107E+00
    0.29578039E+01    0.30595899E+00
    0.29272998E+01    0.31344767E+00
    0.28982891E+01    0.30253247E+00
    0.28761218E+01    0.27594797E+00
    0.28645670E+01    0.23905722E+00
    0.28654507E+01    0.19860045E+00
    0.28786454E+01    0.16198092E+00
    0.29019767E+01    0.13605671E+00
    0.29314412E+01    0.12600517E+00
    0.29615875E+01    0.13438337E+00
    0.29862068E+01    0.16020793E+00
    0.29997964E+01    0.19866502E+00
    0.29990592E+01    0.24161753E+00
    0.29841940E+01    0.27985550E+00
    0.29587260E+01    0.30541748E+00
    0.29282731E+01    0.31349747E+00
    0.28991277E+01    0.30314029E+00
    0.28766777E+01    0.27698230E+00
    0.28647480E+01    0.24032270E+00
    0.28652265E+01    0.19987070E+00
    0.28780525E+01    0.16301574E+00
    0.29011157E+01    0.13665834E+00
    0.29304715E+01    0.12604548E+00
    0.29606871E+01    0.13383632E+00
    0.29855573E+01    0.15914197E+00
    0.29995695E+01    0.19729569E+00
    0.29993174E+01    0.24022637E+00
    0.29848686E+01    0.27877172E+00
    0.29596476E+01    0.30484955E+00
    0.29292621E+01    0.31352434E+00
    0.28999897E+01    0.30373847E+00
    0.28772568E+01    0.27802293E+00
    0.28649481E+01    0.24160559E+00
    0.28650157E+01    0.20116260E+00
    0.28774652E+01    0.16407783E+00
    0.29002505E+01    0.13728823E+00
    0.29294860E+01    0.12610995E+00
    0.29597707E+01    0.13330486E+00
    0.29849070E+01    0.15810797E+00
    0.29993250E+01    0.19593000E+00
    0.29995520E+01    0.23886859E+00
    0.29855054E+01    0.27771695E+00
    0.29605357E+01    0.30428177E+00
    0.29302175E+01    0.31353061E+00
    0.29008258E+01    0.30429577E+00
    0.28778236E+01    0.27900867E+00
    0.28651552E+01    0.24284010E+00
    0.28648246E+01    0.20241921E+00
    0.28769053E+01    0.16512055E+00
    0.28994209E+01    0.13791429E+00
    0.29285323E+01    0.12619205E+00
    0.29588726E+01    0.13280676E+00
    0.29842681E+01    0.15712404E+00
    0.29990729E+01    0.19461589E+00
    0.29997643E+01    0.23754669E+00
    0.29861292E+01    0.27665388E+00
    0.29614094E+01    0.30370283E+00
    0.29311608E+01    0.31351787E+00
    0.29016562E+01    0.30482805E+00
    0.28783947E+01    0.27997191E+00
    0.28653727E+01    0.24405723E+00
    0.28646466E+01    0.20367408E+00
    0.28763571E+01    0.16617247E+00
    0.28986032E+01    0.13855116E+00
    0.29275746E+01    0.12629371E+00
    0.29579696E+01    0.13232658E+00
    0.29836237E+01    0.15615868E+00
    0.29988156E+01    0.19334174E+00
    0.29999598E+01    0.23625339E+00
    0.29867333E+01    0.27559729E+00
    0.29622712E+01    0.30311540E+00
    0.29320976E+01    0.31349177E+00
    0.29024846E+01    0.30534466E+00
    0.28789676E+01    0.28091697E+00
    0.28655972E+01    0.24526096E+00
    0.28644796E+01    0.20492138E+00
    0.28758193E+01    0.16722812E+00
    0.28977846E+01    0.13920557E+00
    0.29266209E+01    0.12640927E+00
    0.29570611E+01    0.13185965E+00
    0.29829675E+01    0.15519798E+00
    0.29985491E+01    0.19207989E+00
    0.30001454E+01    0.23494804E+00
    0.29873375E+01    0.27451708E+00
    0.29631526E+01    0.30249981E+00
    0.29330658E+01    0.31345323E+00
    0.29033468E+01    0.30587098E+00
    0.28795663E+01    0.28188815E+00
    0.28658363E+01    0.24649891E+00
    0.28643169E+01    0.20620064E+00
    0.28752787E+01    0.16830883E+00
    0.28969569E+01    0.13988072E+00
    0.29256492E+01    0.12653921E+00
    0.29561334E+01    0.13139655E+00
    0.29822866E+01    0.15422143E+00
    0.29982705E+01    0.19080696E+00
    0.30003252E+01    0.23361524E+00
    0.29879492E+01    0.27340134E+00
    0.29640665E+01    0.30184749E+00
    0.29340809E+01    0.31340108E+00
    0.29042547E+01    0.30641261E+00
    0.28802016E+01    0.28290279E+00
    0.28660933E+01    0.24778333E+00
    0.28641576E+01    0.20751849E+00
    0.28747286E+01    0.16942917E+00
    0.28961072E+01    0.14058848E+00
    0.29246659E+01    0.12668215E+00
    0.29551863E+01    0.13093687E+00
    0.29815774E+01    0.15322630E+00
    0.29979751E+01    0.18950363E+00
    0.30005012E+01    0.23222500E+00
    0.29885539E+01    0.27227073E+00
    0.29649757E+01    0.30118023E+00
    0.29351114E+01    0.31333226E+00
    0.29051795E+01    0.30694661E+00
    0.28808527E+01    0.28391813E+00
    0.28663626E+01    0.24907273E+00
    0.28640070E+01    0.20885396E+00
    0.28741837E+01    0.17056680E+00
    0.28952613E+01    0.14131040E+00
    0.29236748E+01    0.12684144E+00
    0.29542241E+01    0.13048751E+00
    0.29808569E+01    0.15223848E+00
    0.29976632E+01    0.18818508E+00
    0.30006624E+01    0.23085710E+00
    0.29891363E+01    0.27115671E+00
    0.29658605E+01    0.30051540E+00
    0.29361105E+01    0.31325008E+00
    0.29060791E+01    0.30744928E+00
    0.28814936E+01    0.28489525E+00
    0.28666351E+01    0.25033064E+00
    0.28638690E+01    0.21016451E+00
    0.28736582E+01    0.17168707E+00
    0.28944297E+01    0.14203701E+00
