 #  R                 Z
    0.29940523E+01    0.33707173E+00
    0.29813646E+01    0.35644945E+00
    0.29718485E+01    0.35993397E+00
    0.29667113E+01    0.34208311E+00
    0.29629216E+01    0.33115499E+00
    0.29721628E+01    0.32319811E+00
    0.29920321E+01    0.30653005E+00
    0.29962805E+01    0.31709109E+00
    0.29866013E+01    0.34518948E+00
    0.29725876E+01    0.35428309E+00
    0.29608815E+01    0.34025991E+00
    0.29606260E+01    0.32501702E+00
    0.29768554E+01    0.31507120E+00
    0.29942296E+01    0.28714081E+00
    0.30032356E+01    0.29259115E+00
    0.30006410E+01    0.33010681E+00
    0.29860116E+01    0.36438156E+00
    0.29910032E+01    0.39747762E+00
    0.30295264E+01    0.38596416E+00
    0.30530498E+01    0.37152403E+00
    0.30809249E+01    0.30228702E+00
    0.30750628E+01    0.26539820E+00
    0.30875560E+01    0.24705592E+00
    0.31131531E+01    0.18425813E+00
    0.31018823E+01    0.13801521E+00
    0.30704298E+01    0.12813556E+00
    0.29871151E+01    0.13999841E+00
    0.29564688E+01    0.15589765E+00
    0.29352950E+01    0.15068830E+00
    0.28704455E+01    0.13705096E+00
    0.28457113E+01    0.11996110E+00
    0.28185237E+01    0.13095965E+00
    0.28019462E+01    0.16519737E+00
    0.28274385E+01    0.19090404E+00
    0.28548438E+01    0.21064078E+00
    0.28924391E+01    0.18451568E+00
    0.28948177E+01    0.15039894E+00
    0.28501825E+01    0.13054120E+00
    0.28417543E+01    0.11600267E+00
    0.28115825E+01    0.13462741E+00
    0.28005371E+01    0.17093342E+00
    0.28221356E+01    0.20202953E+00
    0.28612240E+01    0.21468010E+00
    0.29072507E+01    0.17722723E+00
    0.29015543E+01    0.14499357E+00
    0.28771979E+01    0.10855487E+00
    0.28741162E+01    0.70691741E-01
    0.28786989E+01    0.49522610E-01
    0.28398675E+01    0.52391502E-01
    0.27879112E+01    0.82252159E-01
    0.27721483E+01    0.12936568E+00
    0.27508261E+01    0.19510842E+00
    0.27218128E+01    0.23916572E+00
    0.27035446E+01    0.23459062E+00
    0.26872016E+01    0.25944557E+00
    0.26914022E+01    0.31655180E+00
    0.27236053E+01    0.36595024E+00
    0.27445387E+01    0.37871287E+00
    0.27669214E+01    0.41148460E+00
    0.27812753E+01    0.45196391E+00
    0.27849060E+01    0.46887092E+00
    0.28029969E+01    0.48837221E+00
    0.28489622E+01    0.49523669E+00
    0.28847611E+01    0.48876140E+00
    0.29463427E+01    0.47557825E+00
    0.29976840E+01    0.45765221E+00
    0.30326492E+01    0.44899237E+00
    0.30749870E+01    0.41917814E+00
    0.31102143E+01    0.36756685E+00
    0.31077702E+01    0.33542113E+00
    0.31076804E+01    0.28745814E+00
    0.31185309E+01    0.23822207E+00
    0.31278765E+01    0.15429774E+00
    0.30427299E+01    0.11130094E+00
    0.29577909E+01    0.12258891E+00
    0.28967645E+01    0.10894434E+00
    0.28634035E+01    0.79001609E-01
    0.28400026E+01    0.69251801E-01
    0.28135295E+01    0.75522242E-01
    0.27928651E+01    0.94939427E-01
    0.27894602E+01    0.12444667E+00
    0.27726059E+01    0.18254700E+00
    0.27673751E+01    0.21423547E+00
    0.27475719E+01    0.24311117E+00
    0.27214255E+01    0.26961252E+00
    0.27161268E+01    0.31021270E+00
    0.27476481E+01    0.35589044E+00
    0.27771361E+01    0.38164501E+00
    0.27912589E+01    0.39993854E+00
    0.27976623E+01    0.42414692E+00
    0.27916546E+01    0.44891802E+00
    0.28208446E+01    0.47529484E+00
    0.28570641E+01    0.48268293E+00
    0.29296156E+01    0.48518969E+00
    0.29752526E+01    0.46404055E+00
    0.30059523E+01    0.46190809E+00
    0.30392404E+01    0.44913744E+00
    0.30836321E+01    0.41574712E+00
    0.31191883E+01    0.35255269E+00
    0.31165871E+01    0.31776465E+00
    0.31157870E+01    0.28313500E+00
    0.31276487E+01    0.25800035E+00
    0.31435621E+01    0.18839634E+00
    0.30867436E+01    0.98852650E-01
    0.30248115E+01    0.78278978E-01
