 #  R                 Z
    0.29966524E+01    0.31296654E+00
    0.29917365E+01    0.32548979E+00
    0.29855728E+01    0.33678961E+00
    0.29782404E+01    0.34686520E+00
    0.29698791E+01    0.35556651E+00
    0.29606609E+01    0.36274053E+00
    0.29507671E+01    0.36826519E+00
    0.29403977E+01    0.37204541E+00
    0.29297511E+01    0.37402340E+00
    0.29191098E+01    0.37418497E+00
    0.29086537E+01    0.37257224E+00
    0.28986121E+01    0.36927997E+00
    0.28890705E+01    0.36436995E+00
    0.28801866E+01    0.35794761E+00
    0.28722097E+01    0.35026700E+00
    0.28651791E+01    0.34144390E+00
    0.28591583E+01    0.33160593E+00
    0.28542228E+01    0.32090995E+00
    0.28504176E+01    0.30944181E+00
    0.28478250E+01    0.29740736E+00
    0.28464978E+01    0.28499743E+00
    0.28464701E+01    0.27244116E+00
    0.28477473E+01    0.25996207E+00
    0.28503122E+01    0.24777214E+00
    0.28541141E+01    0.23611235E+00
    0.28590918E+01    0.22516190E+00
    0.28651727E+01    0.21508964E+00
    0.28722526E+01    0.20607963E+00
    0.28802135E+01    0.19828725E+00
    0.28889258E+01    0.19184426E+00
    0.28982867E+01    0.18684157E+00
    0.29080530E+01    0.18341684E+00
    0.29181044E+01    0.18160065E+00
    0.29284660E+01    0.18142777E+00
    0.29388558E+01    0.18298183E+00
    0.29490869E+01    0.18628400E+00
    0.29589462E+01    0.19131624E+00
    0.29681481E+01    0.19795944E+00
    0.29766425E+01    0.20620643E+00
    0.29842076E+01    0.21593069E+00
    0.29906186E+01    0.22690928E+00
    0.29957100E+01    0.23887956E+00
    0.29993806E+01    0.25158980E+00
    0.30015636E+01    0.26476911E+00
    0.30022308E+01    0.27821897E+00
    0.30013592E+01    0.29170561E+00
    0.29989351E+01    0.30502467E+00
    0.29949255E+01    0.31801796E+00
    0.29895911E+01    0.32991495E+00
    0.29829940E+01    0.34073990E+00
    0.29752583E+01    0.35032112E+00
    0.29665548E+01    0.35847022E+00
    0.29570675E+01    0.36503990E+00
    0.29469861E+01    0.36992137E+00
    0.29365089E+01    0.37303756E+00
    0.29258419E+01    0.37434575E+00
    0.29152546E+01    0.37385317E+00
    0.29049401E+01    0.37161968E+00
    0.28950369E+01    0.36771511E+00
    0.28858085E+01    0.36231176E+00
    0.28772448E+01    0.35543298E+00
    0.28694937E+01    0.34719771E+00
    0.28627413E+01    0.33784105E+00
    0.28570839E+01    0.32756352E+00
    0.28525547E+01    0.31647160E+00
    0.28492121E+01    0.30471350E+00
    0.28471162E+01    0.29248616E+00
    0.28463054E+01    0.27998287E+00
    0.28468005E+01    0.26742651E+00
    0.28485965E+01    0.25503342E+00
    0.28516644E+01    0.24302472E+00
    0.28559451E+01    0.23162562E+00
    0.28613727E+01    0.22100682E+00
    0.28678679E+01    0.21133496E+00
    0.28753213E+01    0.20278593E+00
    0.28836087E+01    0.19551008E+00
    0.28925885E+01    0.18963622E+00
    0.29021435E+01    0.18525075E+00
    0.29120267E+01    0.18246821E+00
    0.29221889E+01    0.18129915E+00
    0.29326298E+01    0.18180837E+00
    0.29429567E+01    0.18405481E+00
    0.29530405E+01    0.18803786E+00
    0.29627514E+01    0.19377288E+00
    0.29717932E+01    0.20116211E+00
    0.29799189E+01    0.21003139E+00
