 #  R                 Z
    0.29987825E+01    0.23598869E+00
    0.29856394E+01    0.26790107E+00
    0.29633485E+01    0.28900406E+00
    0.29367904E+01    0.29492580E+00
    0.29115815E+01    0.28478814E+00
    0.28926647E+01    0.26114310E+00
    0.28833517E+01    0.22902956E+00
    0.28849832E+01    0.19470650E+00
    0.28970243E+01    0.16442913E+00
    0.29173790E+01    0.14359710E+00
    0.29425103E+01    0.13620119E+00
    0.29678540E+01    0.14400461E+00
    0.29884024E+01    0.16599325E+00
    0.29997236E+01    0.19814618E+00
    0.29991633E+01    0.23409816E+00
    0.29866105E+01    0.26641322E+00
    0.29646870E+01    0.28824338E+00
    0.29382196E+01    0.29502435E+00
    0.29128029E+01    0.28570439E+00
    0.28934475E+01    0.26266224E+00
    0.28835741E+01    0.23085247E+00
    0.28846222E+01    0.19648217E+00
    0.28961427E+01    0.16585335E+00
    0.29161362E+01    0.14439478E+00
    0.29411490E+01    0.13621726E+00
    0.29665826E+01    0.14321153E+00
    0.29874958E+01    0.16449992E+00
    0.29994116E+01    0.19628973E+00
    0.29994963E+01    0.23229520E+00
    0.29874965E+01    0.26500168E+00
    0.29659485E+01    0.28748473E+00
    0.29395643E+01    0.29508085E+00
    0.29139494E+01    0.28652578E+00
    0.28941891E+01    0.26404509E+00
    0.28838018E+01    0.23252688E+00
    0.28843041E+01    0.19815076E+00
    0.28953580E+01    0.16717090E+00
    0.29149879E+01    0.14516384E+00
    0.29398345E+01    0.13625927E+00
    0.29653960E+01    0.14250182E+00
    0.29866529E+01    0.16315973E+00
    0.29990920E+01    0.19455463E+00
    0.29997946E+01    0.23050986E+00
    0.29883610E+01    0.26356215E+00
    0.29672100E+01    0.28668001E+00
    0.29409230E+01    0.29509644E+00
    0.29151291E+01    0.28732522E+00
    0.28949709E+01    0.26543750E+00
    0.28840601E+01    0.23421496E+00
    0.28840189E+01    0.19981152E+00
    0.28945783E+01    0.16853633E+00
    0.29138705E+01    0.14595880E+00
