# R                      ne                     Te                     pres                   zj                     Psi_N                  
# time step #000000
  2.342383356899315E+00  1.250288432920523E+19  1.195509810887770E+03  4.789649444681356E+03  1.646798897549904E+06  4.795275545447077E-01
  2.352390850389685E+00  1.266912941857522E+19  1.230993760786794E+03  4.997387141848074E+03  1.714814717984264E+06  4.668176745884340E-01
  2.362398343880052E+00  1.283678168736802E+19  1.267174731770296E+03  5.212343520417715E+03  1.783848651874837E+06  4.541343472002219E-01
  2.372405837370419E+00  1.300587117723684E+19  1.304056754765490E+03  5.434709211354455E+03  1.853847550006787E+06  4.414837294387514E-01
  2.382413330860789E+00  1.317642066802186E+19  1.341641526362549E+03  5.664666081491747E+03  1.924756056118565E+06  4.288721067609840E-01
  2.392420824351157E+00  1.334844490499999E+19  1.379928225506372E+03  5.902385105268393E+03  1.996516595012411E+06  4.163059007324395E-01
  2.402428317841524E+00  1.352194939036809E+19  1.418913230640307E+03  6.148023447168337E+03  2.069069182509558E+06  4.037917065603408E-01
  2.412435811331892E+00  1.369693132202290E+19  1.458590321691662E+03  6.401724443383626E+03  2.142352121606911E+06  3.913361762392347E-01
  2.422443304822261E+00  1.387337842769264E+19  1.498950420410653E+03  6.663614610835038E+03  2.216301825182827E+06  3.789460588804009E-01
  2.432450798312629E+00  1.405126828326138E+19  1.539981436444622E+03  6.933801144779798E+03  2.290852831132636E+06  3.666282050183742E-01
  2.442458291802998E+00  1.423056778859323E+19  1.581668150505337E+03  7.212369507747389E+03  2.365937874195006E+06  3.543895608212385E-01
  2.452465785293365E+00  1.441123256241966E+19  1.623992080497445E+03  7.499380763356115E+03  2.441487914154887E+06  3.422371693647034E-01
  2.462473278783734E+00  1.459320573377709E+19  1.666931204773939E+03  7.794867772356061E+03  2.517431907929951E+06  3.301782120144248E-01
  2.472480772274102E+00  1.477641910468219E+19  1.710460246332684E+03  8.098835096354389E+03  2.593697542125436E+06  3.182198944640989E-01
  2.482488265764471E+00  1.496079227522243E+19  1.754550486553029E+03  8.411255650544044E+03  2.670211099954344E+06  3.063694761278435E-01
  2.492495759254838E+00  1.514623208695685E+19  1.799169651293206E+03  8.732067711064923E+03  2.746897444605970E+06  2.946342783619298E-01
  2.502503252745207E+00  1.533263234010997E+19  1.844281862838699E+03  9.061172283583692E+03  2.823680094797233E+06  2.830216772714397E-01
  2.512510746235575E+00  1.551987356522131E+19  1.889847606511974E+03  9.398430506965062E+03  2.900481299946922E+06  2.715390962913172E-01
  2.522518239725944E+00  1.570782258993791E+19  1.935823648294328E+03  9.743660630949442E+03  2.977222010087425E+06  2.601940142757401E-01
  2.532525733216312E+00  1.589633234877606E+19  1.982163011241506E+03  1.009663536919013E+04  3.053821923722963E+06  2.489939606112017E-01
  2.542533226706679E+00  1.608524288283802E+19  2.028815247992007E+03  1.045708152743410E+04  3.130199974173984E+06  2.379464458948634E-01
  2.552540720197048E+00  1.627438073931247E+19  2.075726322917667E+03  1.082467673504434E+04  3.206274145589741E+06  2.270589934990199E-01
  2.562548213687417E+00  1.646355904564867E+19  2.122838658542748E+03  1.119904743459014E+04  3.281961534772224E+06  2.163391330399594E-01
  2.572555707177784E+00  1.665257769115600E+19  2.170091209071843E+03  1.157976715839937E+04  3.357178426324002E+06  2.057943916839357E-01
  2.582563200668152E+00  1.684122358635574E+19  2.217419553726316E+03  1.196635507063291E+04  3.431840368561130E+06  1.954322852725927E-01
  2.592570694158521E+00  1.702927100180378E+19  2.264756010209091E+03  1.235827481135177E+04  3.505862250557669E+06  1.852603092823750E-01
  2.602578187648890E+00  1.721648198709114E+19  2.312029768340339E+03  1.275493367745509E+04  3.579158380619289E+06  1.752859296358963E-01
  2.612585681139258E+00  1.740260687114190E+19  2.359167044072216E+03  1.315568217667611E+04  3.651642566745586E+06  1.655165733913371E-01
  2.622593174629625E+00  1.758738484305804E+19  2.406091253555380E+03  1.355981398617620E+04  3.723228199360648E+06  1.559596193401643E-01
  2.632600668119993E+00  1.777054457485787E+19  2.452723197315761E+03  1.396656626165392E+04  3.793828322663224E+06  1.466223904681508E-01
  2.642608161610362E+00  1.795180503975420E+19  2.498981293544944E+03  1.437512066793730E+04  3.863355753016264E+06  1.375121403861992E-01
  2.652615655100731E+00  1.813087633713999E+19  2.544781812542031E+03  1.478460475206219E+04  3.931723174169683E+06  1.286360435532569E-01
  2.662623148591099E+00  1.830746050920361E+19  2.590039108044885E+03  1.519409363346621E+04  3.998843206901200E+06  1.200011894786801E-01
  2.672630642081467E+00  1.848125249807159E+19  2.634665883399195E+03  1.560261236866842E+04  4.064628509813979E+06  1.116145733228509E-01
  2.682638135571836E+00  1.865194117066646E+19  2.678573474036143E+03  1.600913885131941E+04  4.128991885657363E+06  1.034830865357033E-01
  2.692645629062205E+00  1.881921040744527E+19  2.721672145235186E+03  1.641260725390820E+04  4.191846393793405E+06  9.561350754000036E-02
  2.702653122552571E+00  1.898274029291792E+19  2.763871414938109E+03  1.681191211527845E+04  4.253105484504140E+06  8.801249050587301E-02
  2.712660616042940E+00  1.914220838658284E+19  2.805080396213378E+03  1.720591303557599E+04  4.312683149406075E+06  8.068655309805682E-02
  2.722668109533308E+00  1.929729083958697E+19  2.845208098641789E+03  1.759343939392710E+04  4.370494006957445E+06  7.364207367083929E-02
  2.732675603023677E+00  1.944766373230168E+19  2.884163785444446E+03  1.797329599731330E+04  4.426453459740605E+06  6.688528020747142E-02
  2.742683096514044E+00  1.959300440679911E+19  2.921857328162879E+03  1.834426910489274E+04  4.480477844766217E+06  6.042224135203993E-02
  2.752690590004412E+00  1.973299282635565E+19  2.958199567160801E+03  1.870513288608535E+04  4.532484591114797E+06  5.425885766236058E-02
  2.762698083494782E+00  1.986731295883872E+19  2.993102677205025E+03  1.905465628123516E+04  4.582392386434663E+06  4.840085293892439E-02
  2.772705576985149E+00  1.999565417297776E+19  3.026480535263541E+03  1.939161020714529E+04  4.630121351584461E+06  4.285376564271000E-02
  2.782713070475516E+00  2.011771263585350E+19  3.058249087586163E+03  1.971477504214797E+04  4.675593222376220E+06  3.762294054664600E-02
  2.792720563965886E+00  2.023319277960310E+19  3.088326733788167E+03  2.002294853202887E+04  4.718731565339499E+06  3.271351712594305E-02
  2.802728057456255E+00  2.034180959726784E+19  3.116634927571812E+03  2.031495614095972E+04  4.759462281433773E+06  2.813038381881046E-02
  2.812735550946622E+00  2.044328858192489E+19  3.143098163222074E+03  2.058965524467322E+04  4.797713305536430E+06  2.387823265077250E-02
  2.822743044436990E+00  2.053736730452201E+19  3.167644385482289E+03  2.084594371552312E+04  4.833414901074240E+06  1.996154070993421E-02
  2.832750537927359E+00  2.062379698056458E+19  3.190205396837148E+03  2.108276854595046E+04  4.866499969844047E+06  1.638455035084101E-02
  2.842758031417726E+00  2.070234375750772E+19  3.210717191470932E+03  2.129913370321144E+04  4.896904291710184E+06  1.315125809771178E-02
  2.852765524908095E+00  2.077279122510430E+19  3.229120612690054E+03  2.149411132437849E+04  4.924567162441325E+06  1.026535782814846E-02
  2.862773018398463E+00  2.083493968047988E+19  3.245361163185086E+03  2.166684382179083E+04  4.949430934708809E+06  7.730318109789492E-03
  2.872780511888831E+00  2.088860741367212E+19  3.259389333850718E+03  2.181655124065070E+04  4.971441359086004E+06  5.549358428523266E-03
  2.882788005379199E+00  2.093363198541920E+19  3.271160933505511E+03  2.194253837688445E+04  4.990547935732365E+06  3.725423289332184E-03
  2.892795498869568E+00  2.096987247097521E+19  3.280637682135925E+03  2.204420438532326E+04  5.006704502386728E+06  2.261135609932575E-03
  2.902802992359936E+00  2.099720875161106E+19  3.287787029519085E+03  2.212104373894670E+04  5.019868872030719E+06  1.158863491705140E-03
  2.912810485850305E+00  2.101554195460828E+19  3.292582257137597E+03  2.217264983784534E+04  5.030003085214037E+06  4.206981871222394E-04
  2.922817979340672E+00  2.102479556717825E+19  3.295002771913102E+03  2.219872016936619E+04  5.037072334667764E+06  4.843018926003892E-05
  2.932825472831040E+00  2.102491815496173E+19  3.295034838654223E+03  2.219906563955125E+04  5.041051301394461E+06  4.350039775135733E-05
  2.942832966321410E+00  2.101588030309392E+19  3.292670759084256E+03  2.217360280815254E+04  5.041916563005313E+06  4.070830302904079E-04
  2.952840459811777E+00  2.099767460346806E+19  3.287908872568620E+03  2.212235433296331E+04  5.039646145780653E+06  1.140095284451225E-03
  2.962847953302145E+00  2.097031946113148E+19  3.280754577877592E+03  2.204545977198732E+04  5.034228252710288E+06  2.243096103510279E-03
  2.972855446792514E+00  2.093385694717868E+19  3.271219755403560E+03  2.194316875495812E+04  5.025654960974691E+06  3.716323315340436E-03
  2.982862940282882E+00  2.088835207439942E+19  3.259322582684159E+03  2.181583776836446E+04  5.013923559065109E+06  5.559717139097768E-03
  2.992870433773250E+00  2.083389280910606E+19  3.245087556781984E+03  2.166392857752115E+04  4.999036603329542E+06  7.772935687413601E-03
  3.002877927263618E+00  2.077059126347500E+19  3.228545808794038E+03  2.148800928809917E+04  4.981002569606973E+06  1.035528025711459E-02
  3.012885420753986E+00  2.069858180893846E+19  3.209734610881897E+03  2.128874628700552E+04  4.959835462649567E+06  1.330573791465679E-02
  3.022892914244354E+00  2.061802034966397E+19  3.188697197117519E+03  2.106689907308367E+04  4.935554763444714E+06  1.662299332466670E-02
  3.032900407734723E+00  2.052908297933881E+19  3.165482425811766E+03  2.082331302100867E+04  4.908185192193531E+06  2.030546210222385E-02
  3.042907901225091E+00  2.043196709650441E+19  3.140145078384041E+03  2.055891848950757E+04  4.877757387181602E+06  2.435120824763537E-02
  3.052915394715460E+00  2.032688939127874E+19  3.112745338318437E+03  2.027472097387513E+04  4.844307509331301E+06  2.875798353867300E-02
  3.062922888205828E+00  2.021408458711822E+19  3.083348472247528E+03  1.997179316790623E+04  4.807877098427159E+06  3.352324039319217E-02
  3.072930381696197E+00  2.009380431124054E+19  3.052024544297921E+03  1.965126720909215E+04  4.768512993087644E+06  3.864413506923375E-02
  3.082937875186563E+00  1.996631575250167E+19  3.018848074418682E+03  1.931432624634700E+04  4.726267190474961E+06  4.411753585270386E-02
  3.092945368676933E+00  1.983190007594862E+19  2.983897633112396E+03  1.896219534162695E+04  4.681196629265098E+06  4.994003879037871E-02
  3.102952862167300E+00  1.969085196356148E+19  2.947255727384167E+03  1.859613533683087E+04  4.633363386015632E+06  5.610793169543862E-02
  3.112960355657668E+00  1.954347762554333E+19  2.909008287741253E+03  1.821743275779356E+04  4.582834325928300E+06  6.261722183218793E-02
  3.122967849148036E+00  1.939009320593511E+19  2.869244257694177E+03  1.782739094906936E+04  4.529680896949631E+06  6.946364590448541E-02
  3.132975342638404E+00  1.923102323836027E+19  2.828055195107790E+03  1.742732156131814E+04  4.473978943237605E+06  7.664267653952021E-02
  3.142982836128773E+00  1.906659906749348E+19  2.785534863276166E+03  1.701853622440311E+04  4.415808505154316E+06  8.414952935292837E-02
  3.152990329619143E+00  1.889715724877152E+19  2.741778814885702E+03  1.660233849115163E+04  4.355253607570984E+06  9.197917058578431E-02
  3.162997823109510E+00  1.872303793642872E+19  2.696883971339656E+03  1.618001612384483E+04  4.292402038032210E+06  1.001263252911383E-01
  3.173005316599877E+00  1.854458327096264E+19  2.650948200272904E+03  1.575283379173502E+04  4.227345116044478E+06  1.085854861166037E-01
  3.183012810090246E+00  1.836213577537763E+19  2.604069893533815E+03  1.532202623561717E+04  4.160177455004288E+06  1.173509226379210E-01
  3.193020303580615E+00  1.817603677082203E+19  2.556347548346947E+03  1.488879195155856E+04  4.090996718007379E+06  1.264166912742072E-01
  3.203027797070983E+00  1.798662482185745E+19  2.507879354250033E+03  1.445428743676788E+04  4.019903369041060E+06  1.357766457573278E-01
  3.213035290561350E+00  1.779423422107458E+19  2.458762788263234E+03  1.401962203122015E+04  3.947000421031491E+06  1.454244481127046E-01
  3.223042784051720E+00  1.759919352301661E+19  2.409094220884573E+03  1.358585338154196E+04  3.872393182094086E+06  1.553535801412375E-01
  3.233050277542088E+00  1.740182422463686E+19  2.358968557631274E+03  1.315398373493499E+04  3.796189036786553E+06  1.655573507599669E-01
  3.243057771032455E+00  1.720244006896376E+19  2.308479036173424E+03  1.272495804660279E+04  3.718497458767671E+06  1.760288732408357E-01
  3.253065264522822E+00  1.700134469588409E+19  2.257716602048065E+03  1.229965896581989E+04  3.639429334443474E+06  1.867611322053855E-01
  3.263072758013193E+00  1.679883067444565E+19  2.206769635341505E+03  1.187890537459211E+04  3.559096796459999E+06  1.977469862771677E-01
  3.273080251503561E+00  1.659517853992711E+19  2.155723676711684E+03  1.146345133213950E+04  3.477613033005320E+06  2.089791742979267E-01
  3.283087744993930E+00  1.639065579088134E+19  2.104661142084528E+03  1.105398532282954E+04  3.395092049041581E+06  2.204503286070100E-01
  3.293095238484297E+00  1.618551610703209E+19  2.053661091737309E+03  1.065113031180276E+04  3.311648485043158E+06  2.321529813686820E-01
  3.303102731974666E+00  1.598000020536079E+19  2.002799401846161E+03  1.025544723003837E+04  3.227398105175497E+06  2.440794779444168E-01
  3.313110225465033E+00  1.577433233068149E+19  1.952147850400137E+03  9.867430218329999E+03  3.142456422230283E+06  2.562221458974296E-01
  3.323117718955400E+00  1.556872007389611E+19  1.901774039237239E+03  9.487508880415069E+03  3.056938629778054E+06  2.685732909846165E-01
  3.333125212445769E+00  1.536335447399542E+19  1.851741382951012E+03  9.116051165144272E+03  2.970959639936001E+06  2.811251775383191E-01
  3.343132705936137E+00  1.515841130331043E+19  1.802109378854536E+03  8.753368352393289E+03  2.884634613071035E+06  2.938699354120904E-01
  3.353140199426507E+00  1.495404962025030E+19  1.752933202832500E+03  8.399715086366978E+03  2.798078308199858E+06  3.067996316502021E-01
  3.363147692916874E+00  1.475040907916623E+19  1.704263027405225E+03  8.055287735768899E+03  2.711403783084438E+06  3.199064478421964E-01
  3.373155186407242E+00  1.454761196559937E+19  1.656144484465009E+03  7.720231115244917E+03  2.624723110113982E+06  3.331825662848124E-01
  3.383162679897610E+00  1.434576601893711E+19  1.608619288530965E+03  7.394645960670907E+03  2.538148453609238E+06  3.466199886995801E-01
  3.393170173387979E+00  1.414495996119557E+19  1.561724130683423E+03  7.078584388503456E+03  2.451789929155558E+06  3.602108390640567E-01
  3.403177666878347E+00  1.394526403009824E+19  1.515490793890014E+03  6.772054031706493E+03  2.365755546516633E+06  3.739473691078706E-01
  3.413185160368716E+00  1.374673333314929E+19  1.469946906745116E+03  6.475026161014417E+03  2.280152405352071E+06  3.878217597592302E-01
  3.423192653859082E+00  1.354940782573491E+19  1.425115886379751E+03  6.187438095993255E+03  2.195086409204087E+06  4.018261402307208E-01
  3.433200147349451E+00  1.335330829305763E+19  1.381016010875042E+03  5.909190081010296E+03  2.110660144525914E+06  4.159529207059620E-01
  3.443207640839820E+00  1.315844090764652E+19  1.337661454693469E+03  5.640154724762948E+03  2.026974515453009E+06  4.301945233251060E-01
  3.453215134330188E+00  1.296479952377052E+19  1.295062758221284E+03  5.380182294903063E+03  1.944129379775841E+06  4.445432483634530E-01
  3.463222627820557E+00  1.277236010932027E+19  1.253225588156128E+03  5.129095425429220E+03  1.862220714450317E+06  4.589917404104759E-01
  3.473230121310926E+00  1.258108519377253E+19  1.212151742400461E+03  4.886697591949529E+03  1.781342144152240E+06  4.735327301241453E-01
  3.483237614801293E+00  1.239092741882569E+19  1.171839889762815E+03  4.652779391002654E+03  1.701586039718917E+06  4.881588134509907E-01
  3.493245108291661E+00  1.220182380864464E+19  1.132284347266744E+03  4.427113169846967E+03  1.623040625302663E+06  5.028629525491414E-01
  3.503252601782030E+00  1.201369957698555E+19  1.093475936984583E+03  4.209459821054683E+03  1.545791198423603E+06  5.176382631363912E-01
  3.513260095272396E+00  1.182647241439251E+19  1.055402870216752E+03  3.999575181015247E+03  1.469921469949838E+06  5.324777385371988E-01
  3.523267588762766E+00  1.164004721641596E+19  1.018049676824694E+03  3.797205340946155E+03  1.395510927753191E+06  5.473747322797217E-01
  3.533275082253134E+00  1.145431887526049E+19  9.813978426341232E+02  3.602091486144353E+03  1.322635625363904E+06  5.623228189705378E-01
  3.543282575743503E+00  1.126917687455760E+19  9.454267424747550E+02  3.413975882096412E+03  1.251369593479473E+06  5.773154921247377E-01
  3.553290069233871E+00  1.108450136179913E+19  9.101128880337840E+02  3.232598716749495E+03  1.181782846523980E+06  5.923465482540313E-01
  3.563297562724239E+00  1.090016425006358E+19  8.754302240087746E+02  3.057700535678850E+03  1.113941517226639E+06  6.074100753752837E-01
  3.573305056214607E+00  1.071603317326216E+19  8.413509298351023E+02  2.889026989666751E+03  1.047909007309303E+06  6.225001985698478E-01
  3.583312549704974E+00  1.053197109209444E+19  8.078453708902912E+02  2.726329041640013E+03  9.837454277914069E+05  6.376111766744038E-01
  3.593320043195344E+00  1.034783397111169E+19  7.748817488865338E+02  2.569361750096884E+03  9.215065128452129E+05  6.527376608759367E-01
  3.603327536685712E+00  1.016347420635650E+19  7.424268051947392E+02  2.417888132412222E+03  8.612446205230741E+05  6.678744758805538E-01
  3.613335030176080E+00  9.978743339989326E+18  7.104463441833202E+02  2.271681843461289E+03  8.030093225846544E+05  6.830164557525995E-01
  3.623342523666448E+00  9.793488265287500E+18  6.789046284850917E+02  2.130524572392988E+03  7.468459171872007E+05  6.981588123358939E-01
  3.633350017156818E+00  9.607553204907151E+18  6.477648160618969E+02  1.994208321197780E+03  6.927959872600553E+05  7.132970229763025E-01
  3.643357510647184E+00  9.420781232960008E+18  6.169892928614358E+02  1.862537034380270E+03  6.408977480103478E+05  7.284267498954681E-01
  3.653365004137552E+00  9.233016043838413E+18  5.865400325574683E+02  1.735328182054077E+03  5.911864223648368E+05  7.435437332579106E-01
  3.663372497627921E+00  9.044098426538908E+18  5.563781221409922E+02  1.612410787928949E+03  5.436933312007054E+05  7.586440905454046E-01
  3.673379991118290E+00  8.853867292714664E+18  5.264641094232416E+02  1.493626974777817E+03  4.984466284367020E+05  7.737241947548609E-01
  3.683387484608658E+00  8.662158082333067E+18  4.967580693531303E+02  1.378832166632235E+03  4.554719463151117E+05  7.887806459348184E-01
  3.693394978099026E+00  8.468797790106370E+18  4.672195464345897E+02  1.267894557143440E+03  4.147937983224851E+05  8.038102096648104E-01
  3.703402471589394E+00  8.273588399767208E+18  4.378068124707661E+02  1.160691482071917E+03  3.764383068940796E+05  8.188098742995180E-01
  3.713409965079762E+00  8.076263221106117E+18  4.084749339097202E+02  1.057100423647097E+03  3.404398170260320E+05  8.337769618675873E-01
  3.723417458570131E+00  7.876377637112044E+18  3.791716420420410E+02  9.569797552997081E+02  3.068571198650537E+05  8.487090361467657E-01
  3.733424952060499E+00  7.673022370592995E+18  3.498268952847745E+02  8.601219499106259E+02  2.758097125048228E+05  8.636039099524409E-01
  3.743432445550866E+00  7.464085578957462E+18  3.203283774333504E+02  7.661475104937435E+02  2.475575040085395E+05  8.784596608223677E-01
  3.753439939041234E+00  7.244377891352269E+18  2.904659632011426E+02  6.742744699331240E+02  2.226652486951440E+05  8.932746398111761E-01
  3.763447432531604E+00  7.000947430482358E+18  2.598116939609175E+02  5.828487666077447E+02  2.022955731405396E+05  9.080475571890599E-01
  3.773454926021971E+00  6.701968072771465E+18  2.274893318550645E+02  4.885440860983745E+02  1.884953448588135E+05  9.227776858729870E-01
  3.783462419512340E+00  6.273995951754772E+18  1.918649240516125E+02  3.857271344417419E+02  1.832538700234894E+05  9.374650499386434E-01
