# R                      rho                    T                      currdens               pres                   eta_T                  radiation              Psi_N                  
# time step #001000
  2.128195344589138E+00  8.955483119959776E+19  1.921068840207034E+02  7.927876728351117E+04  2.540592474524166E+03  2.067375138703579E-05  1.992403808035295E+03  8.115324919970057E-01
  2.137639547117665E+00  8.674848388965122E+19  2.085629174784430E+02  8.134541844424928E+04  2.630918316255200E+03  1.934904347129885E-05  1.893471829487447E+03  7.979793128662571E-01
  2.147083749646193E+00  8.305897438601999E+19  2.314797162981476E+02  9.193118310491354E+04  2.757583555254620E+03  1.761043509055446E-05  1.762946439680850E+03  7.843264607626077E-01
  2.156527952174721E+00  7.865931604628606E+19  2.595245756360465E+02  1.179372028068246E+05  2.895040903022400E+03  1.585708776854285E-05  1.607120347110456E+03  7.705704017549078E-01
  2.165972154703249E+00  7.385633753962648E+19  2.914786987347561E+02  1.498274607452019E+05  3.025998551601788E+03  1.436524749431439E-05  1.438781314997254E+03  7.567189386929221E-01
  2.175416357231777E+00  6.882139054314096E+19  3.285839724254405E+02  1.776061550040824E+05  3.170171974658467E+03  1.279518602541678E-05  1.271389228852898E+03  7.427778929120918E-01
  2.184860559760306E+00  6.364127379267915E+19  3.737652231452294E+02  2.048728486061286E+05  3.362852761336626E+03  1.067574032647490E-05  1.115077226595737E+03  7.287509786722295E-01
  2.194304762288835E+00  5.850509832920592E+19  4.293823122846603E+02  2.385553575250320E+05  3.622719561799866E+03  8.096636291404865E-06  9.787591137688171E+02  7.146484882939910E-01
  2.203748964817361E+00  5.370827408131572E+19  4.955854846955431E+02  2.868485627981914E+05  3.935524868303170E+03  5.773431512573563E-06  8.666319662106741E+02  7.004722418349534E-01
  2.213193167345890E+00  4.949444433328194E+19  5.695335148305894E+02  3.527049718473830E+05  4.262744452919244E+03  4.165608226837918E-06  7.771519886991666E+02  6.862403886908883E-01
  2.222637369874417E+00  4.591576216560068E+19  6.468419667283615E+02  4.283139587556834E+05  4.566647600682474E+03  3.173599911093822E-06  7.050225663962806E+02  6.719642740141529E-01
  2.232081572402946E+00  4.290266609122039E+19  7.237832200519074E+02  5.015541844517573E+05  4.828304165490060E+03  2.557059382756758E-06  6.454650905115609E+02  6.576663711382111E-01
  2.241525774931475E+00  4.034621550379840E+19  7.986940400789854E+02  5.668285484467582E+05  5.048307637551174E+03  2.148319408222342E-06  5.952098296594806E+02  6.433662156007718E-01
  2.250969977460003E+00  3.816473204296981E+19  8.716661340432606E+02  6.210333508303226E+05  5.239303115392578E+03  1.855576339417712E-06  5.527879220759069E+02  6.290776113922723E-01
  2.260414179988530E+00  3.630521702084447E+19  9.436483603973697E+02  6.649686641004665E+05  5.417284967678528E+03  1.630834964316687E-06  5.176081164750678E+02  6.148212022735853E-01
  2.269858382517058E+00  3.473380384442296E+19  1.015534351914779E+03  7.021401209178281E+05  5.595441019317159E+03  1.449617521600303E-06  4.892246759035582E+02  6.006032855122065E-01
  2.279302585045587E+00  3.342501062038143E+19  1.087546711681868E+03  7.328963680752602E+05  5.781187185268780E+03  1.299748354431202E-06  4.670481492278593E+02  5.864383454035094E-01
  2.288746787574115E+00  3.235137970478617E+19  1.159338213035346E+03  7.577720389044031E+05  5.976838321497480E+03  1.174618287935022E-06  4.502889311262360E+02  5.723342927839992E-01
  2.298190990102643E+00  3.148338082661134E+19  1.230355794651877E+03  7.789530294623957E+05  6.182219939108832E+03  1.069705507196340E-06  4.381125845387604E+02  5.582949482005755E-01
  2.307635192631171E+00  3.079245703282621E+19  1.300047358223127E+03  7.969210042070448E+05  6.396322365114216E+03  9.814072938593608E-07  4.297729770913622E+02  5.443322695150785E-01
  2.317079395159700E+00  3.024950608119779E+19  1.368091918906764E+03  8.113805961669597E+05  6.617953860967069E+03  9.065802565888066E-07  4.245746119772289E+02  5.304460261245327E-01
  2.326523597688228E+00  2.982935386535524E+19  1.434270904193715E+03  8.247389554895198E+05  6.845875741452459E+03  8.426873540507166E-07  4.219453423327051E+02  5.166438655159959E-01
  2.335967800216757E+00  2.951096884190385E+19  1.498450824853543E+03  8.380344505371058E+05  7.078947458967676E+03  7.877166640863637E-07  4.214254203304687E+02  5.029302321653812E-01
  2.345412002745285E+00  2.927549323077217E+19  1.560522269568560E+03  8.505754707972703E+05  7.315596843172783E+03  7.401123204108605E-07  4.225987191402589E+02  4.893050472924211E-01
  2.354856205273812E+00  2.910708612333090E+19  1.620352704755483E+03  8.635171461329325E+05  7.553970647857595E+03  6.986815061759087E-07  4.251102983808329E+02  4.757782682885678E-01
  2.364300407802340E+00  2.899249171799839E+19  1.677911304764918E+03  8.776176083562123E+05  7.792610384017042E+03  6.624190448372529E-07  4.286704136351005E+02  4.623491598960896E-01
  2.373744610330868E+00  2.892026568599920E+19  1.733196801364775E+03  8.915387413304390E+05  8.030061404623517E+03  6.305073980603209E-07  4.330248484828544E+02  4.490238358635767E-01
  2.383188812859396E+00  2.888093851163436E+19  1.786273875907969E+03  9.059182028824574E+05  8.265206655901358E+03  6.022562345997285E-07  4.379657301568093E+02  4.358086891436698E-01
  2.392633015387925E+00  2.886669941752759E+19  1.837260581679035E+03  9.209555519052080E+05  8.497242217315161E+03  5.770851485687730E-07  4.433231261447111E+02  4.227034523584864E-01
  2.402077217916453E+00  2.887120398745175E+19  1.886239112614570E+03  9.363577179138258E+05  8.725310318625459E+03  5.545408864226425E-07  4.489526449700724E+02  4.097190798743032E-01
  2.411521420444982E+00  2.888926335215909E+19  1.933333015109839E+03  9.514376210100707E+05  8.948848401928753E+03  5.342357601084891E-07  4.547376979351102E+02  3.968561584434542E-01
  2.420965622973509E+00  2.891671995612000E+19  1.978648541428758E+03  9.661626053288380E+05  9.167347299283891E+03  5.158572290993607E-07  4.605819485076642E+02  3.841208772262011E-01
  2.430409825502037E+00  2.895045218933930E+19  2.022298541133950E+03  9.815976754541981E+05  9.380518840684055E+03  4.991425220383802E-07  4.664147735673051E+02  3.715205222115031E-01
