 #  R                 Z
    0.29668883E+01    0.15854177E+00
    0.29228729E+01    0.16330092E+00
    0.28933891E+01    0.20761697E+00
    0.28934415E+01    0.26732704E+00
    0.29265274E+01    0.30906105E+00
    0.29742710E+01    0.30170591E+00
    0.30031075E+01    0.24818011E+00
    0.29942543E+01    0.18612821E+00
    0.29557963E+01    0.15519860E+00
    0.29134249E+01    0.17148790E+00
    0.28902981E+01    0.22227927E+00
    0.28989812E+01    0.28089008E+00
    0.29384210E+01    0.31243981E+00
    0.29844790E+01    0.29136311E+00
    0.30044649E+01    0.23156227E+00
    0.29863913E+01    0.17420535E+00
    0.29442881E+01    0.15502365E+00
    0.29050888E+01    0.18200794E+00
    0.28891777E+01    0.23765163E+00
    0.29065565E+01    0.29286118E+00
    0.29507973E+01    0.31237649E+00
    0.29929521E+01    0.27854928E+00
    0.30033856E+01    0.21519611E+00
    0.29770667E+01    0.16487705E+00
    0.29331266E+01    0.15782369E+00
    0.28982914E+01    0.19425822E+00
    0.28901853E+01    0.25289468E+00
    0.29158558E+01    0.30247852E+00
    0.29629693E+01    0.30877599E+00
    0.29992701E+01    0.26394711E+00
    0.29999591E+01    0.19983250E+00
    0.29667731E+01    0.15847163E+00
    0.29227534E+01    0.16336439E+00
    0.28933314E+01    0.20777247E+00
    0.28934725E+01    0.26747390E+00
    0.29266288E+01    0.30912564E+00
    0.29743871E+01    0.30163043E+00
    0.30031452E+01    0.24802196E+00
    0.29941958E+01    0.18598421E+00
    0.29556763E+01    0.15515622E+00
    0.29133220E+01    0.17156532E+00
    0.28902591E+01    0.22242818E+00
    0.28990206E+01    0.28101295E+00
    0.29385166E+01    0.31247719E+00
    0.29845589E+01    0.29129661E+00
    0.30044846E+01    0.23144637E+00
    0.29863524E+01    0.17412352E+00
    0.29442259E+01    0.15500518E+00
    0.29050363E+01    0.18204752E+00
    0.28891573E+01    0.23771523E+00
    0.29065750E+01    0.29292101E+00
    0.29508376E+01    0.31239593E+00
    0.29929873E+01    0.27852684E+00
    0.30034000E+01    0.21515823E+00
    0.29770631E+01    0.16484236E+00
    0.29331151E+01    0.15779973E+00
    0.28982754E+01    0.19424170E+00
    0.28901641E+01    0.25288689E+00
    0.29158319E+01    0.30248910E+00
    0.29629534E+01    0.30880913E+00
    0.29992760E+01    0.26399020E+00
    0.29999895E+01    0.19986211E+00
    0.29668176E+01    0.15846388E+00
    0.29227903E+01    0.16330909E+00
    0.28933362E+01    0.20768224E+00
    0.28934328E+01    0.26740898E+00
    0.29265573E+01    0.30911838E+00
    0.29743199E+01    0.30171274E+00
    0.30031437E+01    0.24814884E+00
    0.29942693E+01    0.18608201E+00
    0.29557910E+01    0.15515192E+00
    0.29134088E+01    0.17144732E+00
    0.28902689E+01    0.22224476E+00
    0.28989338E+01    0.28087706E+00
    0.29383684E+01    0.31247630E+00
    0.29844573E+01    0.29144764E+00
    0.30044970E+01    0.23165217E+00
    0.29864649E+01    0.17422921E+00
    0.29443683E+01    0.15496532E+00
    0.29051326E+01    0.18187076E+00
    0.28891438E+01    0.23750191E+00
    0.29064406E+01    0.29277596E+00
    0.29506574E+01    0.31244112E+00
    0.29928893E+01    0.27873978E+00
    0.30034482E+01    0.21539138E+00
    0.29772263E+01    0.16495082E+00
    0.29332904E+01    0.15771212E+00
    0.28983694E+01    0.19400292E+00
    0.28901191E+01    0.25264539E+00
    0.29156610E+01    0.30236531E+00
    0.29627690E+01    0.30890377E+00
    0.29992018E+01    0.26423743E+00
    0.30000756E+01    0.20012000E+00
    0.29670114E+01    0.15854542E+00
    0.29229698E+01    0.16317617E+00
    0.28934062E+01    0.20742098E+00
    0.28933466E+01    0.26714842E+00
    0.29263447E+01    0.30902889E+00
    0.29741120E+01    0.30188674E+00
    0.30030957E+01    0.24847184E+00
    0.29944079E+01    0.18633311E+00
    0.29560320E+01    0.15518907E+00
    0.29136113E+01    0.17123612E+00
    0.28903171E+01    0.22191395E+00
    0.28987827E+01    0.28058150E+00
    0.29380885E+01    0.31243665E+00
    0.29842390E+01    0.29171830E+00
    0.30044940E+01    0.23203552E+00
    0.29866733E+01    0.17449163E+00
    0.29446320E+01    0.15493433E+00
    0.29052974E+01    0.18162166E+00
    0.28891432E+01    0.23714850E+00
    0.29062456E+01    0.29252845E+00
    0.29503808E+01    0.31248191E+00
    0.29927227E+01    0.27904878E+00
    0.30034999E+01    0.21576387E+00
    0.29774491E+01    0.16512690E+00
    0.29335392E+01    0.15761480E+00
    0.28984999E+01    0.19371261E+00
    0.28900662E+01    0.25229399E+00
    0.29154113E+01    0.30216843E+00
    0.29624626E+01    0.30905115E+00
    0.29990743E+01    0.26463828E+00
    0.30002004E+01    0.20049272E+00
    0.29672891E+01    0.15865967E+00
    0.29232216E+01    0.16298578E+00
    0.28935037E+01    0.20704470E+00
    0.28932179E+01    0.26677138E+00
    0.29260262E+01    0.30890226E+00
    0.29738237E+01    0.30213325E+00
    0.30030345E+01    0.24891103E+00
    0.29945963E+01    0.18666298E+00
    0.29563161E+01    0.15520861E+00
    0.29138190E+01    0.17098516E+00
    0.28903526E+01    0.22152691E+00
    0.28986082E+01    0.28027834E+00
    0.29377823E+01    0.31241496E+00
    0.29840085E+01    0.29203109E+00
    0.30045064E+01    0.23246180E+00
    0.29869135E+01    0.17476038E+00
    0.29449609E+01    0.15488137E+00
    0.29055197E+01    0.18127087E+00
    0.28891395E+01    0.23669987E+00
    0.29059905E+01    0.29221127E+00
    0.29500036E+01    0.31254649E+00
    0.29924971E+01    0.27948172E+00
    0.30035767E+01    0.21624363E+00
    0.29777623E+01    0.16536747E+00
    0.29338787E+01    0.15747252E+00
    0.28986856E+01    0.19328852E+00
    0.28899941E+01    0.25182355E+00
    0.29150969E+01    0.30191706E+00
    0.29621054E+01    0.30921437E+00
    0.29989194E+01    0.26510396E+00
    0.30003414E+01    0.20093682E+00
    0.29676203E+01    0.15880952E+00
    0.29235190E+01    0.16277423E+00
    0.28936212E+01    0.20662515E+00
    0.28930862E+01    0.26635455E+00
    0.29256871E+01    0.30875189E+00
    0.29734891E+01    0.30240493E+00
    0.30029536E+01    0.24942183E+00
    0.29948187E+01    0.18708773E+00
    0.29567038E+01    0.15527732E+00
    0.29141204E+01    0.17067765E+00
    0.28904297E+01    0.22101906E+00
    0.28983790E+01    0.27982243E+00
    0.29373505E+01    0.31234910E+00
    0.29836745E+01    0.29243737E+00
    0.30044971E+01    0.23305342E+00
    0.29872193E+01    0.17514558E+00
    0.29453614E+01    0.15483715E+00
    0.29057893E+01    0.18086676E+00
    0.28891435E+01    0.23614753E+00
    0.29056931E+01    0.29182267E+00
    0.29495662E+01    0.31260449E+00
    0.29922307E+01    0.27996514E+00
    0.30036535E+01    0.21682581E+00
    0.29781143E+01    0.16565578E+00
    0.29342664E+01    0.15732620E+00
    0.28989021E+01    0.19282349E+00
    0.28899180E+01    0.25126690E+00
    0.29147266E+01    0.30160762E+00
    0.29616553E+01    0.30941289E+00
    0.29987219E+01    0.26568224E+00
    0.30005130E+01    0.20149764E+00
    0.29680261E+01    0.15899804E+00
    0.29239071E+01    0.16250934E+00
    0.28937820E+01    0.20606985E+00
    0.28929135E+01    0.26579274E+00
    0.29252431E+01    0.30854761E+00
    0.29730741E+01    0.30272911E+00
    0.30028482E+01    0.25003526E+00
    0.29950653E+01    0.18756292E+00
    0.29571275E+01    0.15535021E+00
    0.29144580E+01    0.17033098E+00
    0.28905145E+01    0.22045179E+00
    0.28981385E+01    0.27933719E+00
    0.29368925E+01    0.31227576E+00
    0.29833174E+01    0.29286574E+00
    0.30044849E+01    0.23367111E+00
    0.29875270E+01    0.17553094E+00
    0.29457494E+01    0.15478810E+00
    0.29060456E+01    0.18047270E+00
    0.28891418E+01    0.23559602E+00
    0.29053823E+01    0.29142918E+00
    0.29491219E+01    0.31267100E+00
    0.29919612E+01    0.28046628E+00
    0.30037370E+01    0.21739302E+00
    0.29784718E+01    0.16593588E+00
    0.29346615E+01    0.15716613E+00
    0.28991152E+01    0.19234387E+00
    0.28898343E+01    0.25070037E+00
    0.29143324E+01    0.30128887E+00
    0.29611994E+01    0.30961795E+00
    0.29985212E+01    0.26627903E+00
    0.30006956E+01    0.20208867E+00
    0.29684570E+01    0.15919475E+00
    0.29243141E+01    0.16222782E+00
    0.28939486E+01    0.20548191E+00
    0.28927279E+01    0.26519777E+00
    0.29247546E+01    0.30832859E+00
    0.29725921E+01    0.30311646E+00
    0.30027283E+01    0.25077597E+00
    0.29953774E+01    0.18815234E+00
    0.29576477E+01    0.15542723E+00
    0.29148687E+01    0.16989120E+00
    0.28906108E+01    0.21974084E+00
    0.28978224E+01    0.27872433E+00
    0.29363019E+01    0.31219420E+00
    0.29828527E+01    0.29344179E+00
    0.30044790E+01    0.23450008E+00
    0.29879758E+01    0.17608935E+00
    0.29463530E+01    0.15472121E+00
    0.29064514E+01    0.17986942E+00
    0.28891515E+01    0.23478374E+00
    0.29049415E+01    0.29084532E+00
    0.29484615E+01    0.31275344E+00
    0.29915514E+01    0.28120105E+00
    0.30038500E+01    0.21826253E+00
    0.29790071E+01    0.16637927E+00
    0.29352645E+01    0.15694427E+00
    0.28994564E+01    0.19161857E+00
    0.28897272E+01    0.24986327E+00
    0.29137803E+01    0.30081359E+00
    0.29605283E+01    0.30989834E+00
    0.29982178E+01    0.26713291E+00
    0.30009408E+01    0.20292304E+00
    0.29690603E+01    0.15948935E+00
    0.29248754E+01    0.16185495E+00
    0.28941830E+01    0.20469626E+00
    0.28924918E+01    0.26439857E+00
    0.29241192E+01    0.30802249E+00
    0.29719648E+01    0.30359690E+00
    0.30025623E+01    0.25170594E+00
    0.29957608E+01    0.18891807E+00
    0.29583081E+01    0.15555135E+00
    0.29154168E+01    0.16933919E+00
    0.28907541E+01    0.21883243E+00
    0.28974403E+01    0.27793249E+00
    0.29355662E+01    0.31206088E+00
    0.29822648E+01    0.29412781E+00
    0.30044487E+01    0.23551439E+00
    0.29884928E+01    0.17676639E+00
    0.29470830E+01    0.15467221E+00
    0.29069665E+01    0.17914774E+00
    0.28891869E+01    0.23379653E+00
    0.29044220E+01    0.29011191E+00
    0.29476675E+01    0.31281890E+00
    0.29910436E+01    0.28205672E+00
    0.30039598E+01    0.21929432E+00
    0.29796194E+01    0.16692270E+00
    0.29359527E+01    0.15671833E+00
    0.28998432E+01    0.19083977E+00
    0.28896226E+01    0.24891473E+00
    0.29131669E+01    0.30025854E+00
    0.29597740E+01    0.31018782E+00
    0.29978622E+01    0.26807818E+00
    0.30011983E+01    0.20386581E+00
    0.29697255E+01    0.15984043E+00
