 #  R                 Z
    0.30457109E+01    0.26595194E+00
    0.30936631E+01    0.30847123E+00
    0.31371721E+01    0.32032224E+00
    0.31788209E+01    0.29999909E+00
    0.32224198E+01    0.23886143E+00
    0.32570020E+01    0.12538821E+00
    0.32432629E+01   -0.30145539E-01
    0.31558074E+01   -0.18856470E+00
    0.30503736E+01   -0.24914079E+00
    0.29707354E+01   -0.23459838E+00
    0.29248000E+01   -0.19531179E+00
    0.29087164E+01   -0.14437668E+00
    0.29074127E+01   -0.81529438E-01
    0.29185200E+01   -0.65317338E-02
    0.29462075E+01    0.80830219E-01
    0.29843553E+01    0.16925889E+00
    0.30288113E+01    0.24285244E+00
    0.30773854E+01    0.29432544E+00
    0.31235352E+01    0.31666211E+00
    0.31664546E+01    0.30558256E+00
    0.32104601E+01    0.25609331E+00
    0.32500985E+01    0.15463950E+00
    0.32525515E+01    0.90894924E-02
    0.31820128E+01   -0.15482250E+00
    0.30758883E+01   -0.24272259E+00
    0.29863570E+01   -0.24157762E+00
    0.29343005E+01   -0.20570824E+00
    0.29112543E+01   -0.15690544E+00
    0.29076315E+01   -0.96367655E-01
    0.29146553E+01   -0.23816714E-01
    0.29395261E+01    0.61143008E-01
    0.29759225E+01    0.15103391E+00
    0.30191544E+01    0.23020227E+00
    0.30663979E+01    0.28734544E+00
    0.31129591E+01    0.31713726E+00
    0.31555355E+01    0.31433960E+00
    0.31983415E+01    0.27674929E+00
    0.32409900E+01    0.19199421E+00
    0.32603196E+01    0.60444564E-01
    0.32129508E+01   -0.10557573E+00
    0.31064283E+01   -0.23145625E+00
    0.30061857E+01   -0.25111079E+00
    0.29448580E+01   -0.22170536E+00
    0.29118144E+01   -0.17880064E+00
    0.29046518E+01   -0.12588402E+00
    0.29072379E+01   -0.60917329E-01
    0.29240760E+01    0.16685410E-01
    0.29550285E+01    0.10566264E+00
    0.29953217E+01    0.19157693E+00
    0.30408258E+01    0.25926517E+00
    0.30892449E+01    0.30439340E+00
    0.31335538E+01    0.31916797E+00
    0.31755900E+01    0.30130427E+00
    0.32193934E+01    0.24314661E+00
    0.32553819E+01    0.13219823E+00
    0.32455180E+01   -0.21209249E-01
    0.31619631E+01   -0.18102121E+00
    0.30564697E+01   -0.24758108E+00
    0.29746140E+01   -0.23577411E+00
    0.29271358E+01   -0.19695806E+00
    0.29097861E+01   -0.14597954E+00
    0.29080430E+01   -0.82945075E-01
    0.29187674E+01   -0.76652871E-02
    0.29463679E+01    0.80007793E-01
    0.29846591E+01    0.16885626E+00
    0.30293756E+01    0.24266890E+00
    0.30781719E+01    0.29401642E+00
    0.31245148E+01    0.31572254E+00
    0.31676926E+01    0.30370447E+00
    0.32119550E+01    0.25258932E+00
    0.32509822E+01    0.14882863E+00
    0.32504859E+01    0.11760040E-02
    0.31768400E+01   -0.16134753E+00
    0.30712811E+01   -0.24336671E+00
    0.29839331E+01   -0.23927488E+00
    0.29328890E+01   -0.20223610E+00
    0.29117591E+01   -0.15200736E+00
    0.29086948E+01   -0.89625953E-01
    0.29175042E+01   -0.15011578E-01
    0.29440108E+01    0.72074349E-01
    0.29817700E+01    0.16187106E+00
    0.30262268E+01    0.23785587E+00
    0.30748544E+01    0.29115097E+00
    0.31216284E+01    0.31503094E+00
    0.31650238E+01    0.30499649E+00
    0.32092716E+01    0.25653820E+00
    0.32492815E+01    0.15599978E+00
    0.32525896E+01    0.11002689E-01
    0.31831742E+01   -0.15265648E+00
    0.30773698E+01   -0.24177004E+00
    0.29875493E+01   -0.24137617E+00
    0.29351299E+01   -0.20548530E+00
    0.29119470E+01   -0.15630414E+00
    0.29082544E+01   -0.95181014E-01
    0.29155676E+01   -0.21924569E-01
    0.29408617E+01    0.63782462E-01
    0.29777139E+01    0.15388852E+00
    0.30213971E+01    0.23230414E+00
    0.30691747E+01    0.28834200E+00
    0.31159145E+01    0.31620571E+00
    0.31588688E+01    0.31088258E+00
    0.32023088E+01    0.26938766E+00
    0.32442980E+01    0.17876958E+00
