# R                      rho                    T                      currdens               pres                   eta_T                  radiation              Psi_N                  
# time step #000010
  2.524845957133715E+00  2.952100841563942E+19  2.199281188267686E+03  1.108435113196581E+06  1.040213110268213E+04  4.396173259910500E-07  5.046994134031196E+02  2.528336689269858E-01
  2.534290085910880E+00  2.952495356201506E+19  2.224316386462582E+03  1.119066013547959E+06  1.052194820287386E+04  4.322162565413625E-07  5.075567599801071E+02  2.420459938341233E-01
  2.543734214688044E+00  2.952657412815219E+19  2.248107765222972E+03  1.129137664297847E+06  1.063507509599567E+04  4.253733239601953E-07  5.101882174306763E+02  2.314484477995971E-01
  2.553178343465209E+00  2.952613051954970E+19  2.270676279515508E+03  1.138661467762280E+06  1.074167809570251E+04  4.190473559798544E-07  5.126061090438249E+02  2.210461911957758E-01
  2.562622472242373E+00  2.952386906674323E+19  2.292050344079552E+03  1.147646663955505E+06  1.084195993811358E+04  4.131994271117166E-07  5.148231915232782E+02  2.108440886118878E-01
  2.572066601019536E+00  2.952002143361283E+19  2.312200286751965E+03  1.156093969912813E+06  1.093584872983158E+04  4.078098989903795E-07  5.168455454371215E+02  2.008441663804185E-01
  2.581510729796703E+00  2.951480560923275E+19  2.331207546295360E+03  1.164022852892529E+06  1.102379789561357E+04  4.028325254942273E-07  5.186908286896314E+02  1.910533210633571E-01
  2.590954858573866E+00  2.950842332895420E+19  2.349016652102490E+03  1.171430256900468E+06  1.110561147390620E+04  3.982600979941452E-07  5.203614764954505E+02  1.814717642187896E-01
  2.600398987351030E+00  2.950106517313100E+19  2.365734785418058E+03  1.178338821492062E+06  1.118186199021315E+04  3.940459388602749E-07  5.218769600957698E+02  1.721071273674327E-01
  2.609843116128196E+00  2.949290358079631E+19  2.381302781294608E+03  1.184746487530176E+06  1.125233168179787E+04  3.901880915394373E-07  5.232383964166779E+02  1.629588542323293E-01
  2.619287244905359E+00  2.948410211766350E+19  2.395833529062733E+03  1.190675955873178E+06  1.131761510604585E+04  3.866437388758590E-07  5.244648483110634E+02  1.540344527146969E-01
  2.628731373682524E+00  2.947480577551587E+19  2.409279938550231E+03  1.196127371922146E+06  1.137754577333085E+04  3.834114187871993E-07  5.255577854054727E+02  1.453333729127834E-01
  2.638175502459689E+00  2.946515131227657E+19  2.421745039351428E+03  1.201122142413005E+06  1.143266477703812E+04  3.804550133537578E-07  5.265341866870476E+02  1.368622399095256E-01
  2.647619631236852E+00  2.945525909247824E+19  2.433208262979744E+03  1.205664606406139E+06  1.148292438101053E+04  3.777696080580234E-07  5.273974327188926E+02  1.286213551351910E-01
  2.657063760014017E+00  2.944523906061554E+19  2.443743045940781E+03  1.209771189160076E+06  1.152871753178494E+04  3.753294402887158E-07  5.281603618119643E+02  1.206154622786598E-01
  2.666507888791181E+00  2.943519069559698E+19  2.453378766882877E+03  1.213454154760866E+06  1.157022570665657E+04  3.731204358609414E-07  5.288307906974071E+02  1.128469514302881E-01
  2.675952017568347E+00  2.942519730600057E+19  2.462135036392544E+03  1.216722347685360E+06  1.160757843262712E+04  3.711317736658531E-07  5.294149523444260E+02  1.053175005700501E-01
  2.685396146345510E+00  2.941534063459860E+19  2.470105242645831E+03  1.219595211430571E+06  1.164125263934675E+04  3.693369456580776E-07  5.299266263388213E+02  9.803243354538861E-02
  2.694840275122674E+00  2.940567972352379E+19  2.477255376598423E+03  1.222077372599358E+06  1.167111578168056E+04  3.677390670991645E-07  5.303656260803089E+02  9.099024968082792E-02
  2.704284403899840E+00  2.939627880916743E+19  2.483717175362091E+03  1.224189180868453E+06  1.169781835685354E+04  3.663049004113743E-07  5.307490358133696E+02  8.419819963129795E-02
  2.713728532677004E+00  2.938717851820405E+19  2.489444425531642E+03  1.225937488623314E+06  1.172116289840130E+04  3.650415385789416E-07  5.310748012616957E+02  7.765354145637061E-02
  2.723172661454169E+00  2.937842354927521E+19  2.494553702258308E+03  1.227338292185584E+06  1.174172002329760E+04  3.639206108763788E-07  5.313577785629175E+02  7.136280287312130E-02
  2.732616790231333E+00  2.937004358086426E+19  2.499044924041614E+03  1.228403476640029E+06  1.175950467956869E+04  3.629400080918886E-07  5.316003386702141E+02  6.532533494304606E-02
  2.742060919008498E+00  2.936206201784314E+19  2.502966028589729E+03  1.229144444525017E+06  1.177475506615494E+04  3.620874786168479E-07  5.318096661829950E+02  5.954356465751041E-02
  2.751505047785662E+00  2.935450240725903E+19  2.506396834989256E+03  1.229574702197755E+06  1.178785897447812E+04  3.613442841516506E-07  5.319962187876292E+02  5.402173449373127E-02
  2.760949176562827E+00  2.934737102956335E+19  2.509321989955678E+03  1.229706246666669E+06  1.179874921622812E+04  3.607126314970935E-07  5.321602974678000E+02  4.875774081110368E-02
  2.770393305339991E+00  2.934068055913650E+19  2.511833840830605E+03  1.229549017885278E+06  1.180786734237971E+04  3.601716941721930E-07  5.323135095668924E+02  4.375710216851030E-02
  2.779837434117154E+00  2.933443213513183E+19  2.513946732879265E+03  1.229116879068755E+06  1.181528309440345E+04  3.597177203608943E-07  5.324592214223062E+02  3.901919575827806E-02
  2.789281562894319E+00  2.932862329587760E+19  2.515695594404647E+03  1.228420237175913E+06  1.182116125405873E+04  3.593426826559992E-07  5.326030524759922E+02  3.454543831437575E-02
  2.798725691671486E+00  2.932325429960929E+19  2.517148243104664E+03  1.227467465116920E+06  1.182582192592193E+04  3.590316620217246E-07  5.327541326880305E+02  3.033990239969744E-02
  2.808169820448648E+00  2.931831369094832E+19  2.518309503655238E+03  1.226272753689175E+06  1.182928422253952E+04  3.587833518536111E-07  5.329151046959262E+02  2.640070940073075E-02
  2.817613949225812E+00  2.931379391677576E+19  2.519226830546338E+03  1.224844323582401E+06  1.183176890057715E+04  3.585874038448005E-07  5.330933503102335E+02  2.273082845123954E-02
  2.827058078002978E+00  2.930968618898054E+19  2.519944877277220E+03  1.223189888837653E+06  1.183348281714581E+04  3.584341480102772E-07  5.332960954010532E+02  1.933261618121649E-02
  2.836502206780141E+00  2.930597456940192E+19  2.520476471888393E+03  1.221320508129240E+06  1.183448030366235E+04  3.583207577744356E-07  5.335276309470601E+02  1.620466808829489E-02
  2.845946335557306E+00  2.930264856281327E+19  2.520859878876009E+03  1.219246485902026E+06  1.183493719937552E+04  3.582390133707129E-07  5.337949851472104E+02  1.334986595187037E-02
