# R                      rho                    T                      currdens               pres                   eta_T                  radiation              Psi_N                  
# time step #000000
  2.306278790931058E+00  2.812056043678861E+19  4.059056161142659E+03  8.060293177339287E+05  1.828771340685202E+04  9.110458437559701E-07  6.049503908567415E+02  5.328951212464162E-01
  2.315684776553240E+00  2.826844032558441E+19  4.197532589438497E+03  8.287886453118208E+05  1.901105854265348E+04  8.663366882091616E-07  6.216701591187505E+02  5.192073822821163E-01
  2.325090762175424E+00  2.840548244305379E+19  4.334777240201431E+03  8.509660123983537E+05  1.972783056458178E+04  8.255200864581012E-07  6.378918004194152E+02  5.055990916650764E-01
  2.334496747797606E+00  2.853211133480435E+19  4.470569468798403E+03  8.725464673726477E+05  2.043652885843578E+04  7.881947718494128E-07  6.535947149788855E+02  4.920762558498026E-01
  2.343902733419789E+00  2.864875808641983E+19  4.604698386743614E+03  8.935171339086231E+05  2.113573542675163E+04  7.540081473166617E-07  6.687618378282382E+02  4.786446386123017E-01
  2.353308719041972E+00  2.875585442442889E+19  4.736958846028974E+03  9.138663590243920E+05  2.182409598377200E+04  7.226506607178291E-07  6.833790274362618E+02  4.653102194180846E-01
  2.362714704664156E+00  2.885383407286656E+19  4.867154973973426E+03  9.335842049466831E+05  2.250033995024050E+04  6.938491482160057E-07  6.974353164851169E+02  4.520788959816384E-01
  2.372120690286339E+00  2.894313132142845E+19  4.995100849937371E+03  9.526624305496126E+05  2.316328501849197E+04  6.673619325653593E-07  7.109228095758508E+02  4.389564662145388E-01
  2.381526675908522E+00  2.902418069595714E+19  5.120622838665882E+03  9.710947557797781E+05  2.381184972602358E+04  6.429743354308325E-07  7.238367362027511E+02  4.259484330809428E-01
  2.390932661530706E+00  2.909741409579643E+19  5.243558215971700E+03  9.888764953089418E+05  2.444504627879783E+04  6.204955632224052E-07  7.361751004816965E+02  4.130601849175898E-01
  2.400338647152888E+00  2.916325820364543E+19  5.363753413212495E+03  1.006004146527571E+06  2.506197093161667E+04  5.997560198200306E-07  7.479383050081269E+02  4.002972134337380E-01
  2.409744632775072E+00  2.922213468518597E+19  5.481066463928355E+03  1.022475694864099E+06  2.566181569532160E+04  5.806042613027625E-07  7.591292022930891E+02  3.876648916483632E-01
  2.419150618397254E+00  2.927445896459293E+19  5.595367277273968E+03  1.038290553706808E+06  2.624386838854320E+04  5.629047631398574E-07  7.697529146712841E+02  3.751684696576227E-01
  2.428556604019437E+00  2.932063926816539E+19  5.706538331011196E+03  1.053449580758601E+06  2.680751444427711E+04  5.465359238136638E-07  7.798166918605116E+02  3.628130175125007E-01
  2.437962589641621E+00  2.936107574716144E+19  5.814475566653944E+03  1.067955133010626E+06  2.735223936288665E+04  5.313883107443256E-07  7.893297826368876E+02  3.506033364726102E-01
  2.447368575263804E+00  2.939615823732248E+19  5.919085345606789E+03  1.081810484270594E+06  2.787761098644575E+04  5.173636579872300E-07  7.983029641506250E+02  3.385443058102255E-01
  2.456774560885986E+00  2.942626618819475E+19  6.020286181812900E+03  1.095020041281414E+06  2.838328583236606E+04  5.043733332053929E-07  8.067485149150143E+02  3.266406956142589E-01
  2.466180546508170E+00  2.945176794013743E+19  6.118008920188971E+03  1.107589309152394E+06  2.886900732875907E+04  4.923372128870606E-07  8.146800484398314E+02  3.148971436974175E-01
  2.475586532130353E+00  2.947302000248727E+19  6.212196661420179E+03  1.119524823783871E+06  2.933460264048656E+04  4.811827255424647E-07  8.221123332318290E+02  3.033181550982887E-01
  2.484992517752536E+00  2.949036641967311E+19  6.302804633605887E+03  1.130834084515660E+06  2.977997915157539E+04  4.708440136646463E-07  8.290611187715549E+02  2.919081022236844E-01
  2.494398503374720E+00  2.950413824440105E+19  6.389800146256597E+03  1.141525509175528E+06  3.020512130977193E+04  4.612611837005723E-07  8.355429784825242E+02  2.806712082756168E-01
  2.503804488996902E+00  2.951465308876795E+19  6.473162630877656E+03  1.151608412078755E+06  3.061008786982543E+04  4.523796331984006E-07  8.415751689001561E+02  2.696115114247033E-01
  2.513210474619086E+00  2.952221459934050E+19  6.552882268462259E+03  1.161092759286849E+06  3.099500231985661E+04  4.441495982267291E-07  8.471753996381680E+02  2.587330099249991E-01
  2.522616460241269E+00  2.952711231016849E+19  6.628960319101960E+03  1.169989211061604E+06  3.136005172420916E+04  4.365255744913599E-07  8.523617442288918E+02  2.480395843946352E-01
  2.532022445863451E+00  2.952962144743492E+19  6.701408874823683E+03  1.178309077431741E+06  3.170548281750366E+04  4.294658611725963E-07  8.571525180453607E+02  2.375349870394447E-01
