 #  R                 Z
    0.30013909E+01    0.28556430E+00
    0.29799685E+01    0.35587624E+00
    0.29381909E+01    0.40559650E+00
    0.28882852E+01    0.43040263E+00
    0.28393136E+01    0.42019471E+00
    0.27998043E+01    0.38795001E+00
    0.27692013E+01    0.34359624E+00
    0.27501267E+01    0.27793098E+00
    0.27532220E+01    0.20194449E+00
    0.27750569E+01    0.13927052E+00
    0.28064855E+01    0.88633582E-01
    0.28480283E+01    0.56371685E-01
    0.28982429E+01    0.54218015E-01
    0.29473275E+01    0.79012358E-01
    0.29831643E+01    0.13264853E+00
    0.30015159E+01    0.21300212E+00
    0.29997175E+01    0.29734406E+00
    0.29749212E+01    0.36452590E+00
    0.29311507E+01    0.41119502E+00
    0.28808695E+01    0.43127199E+00
    0.28328640E+01    0.41655066E+00
    0.27947787E+01    0.38253916E+00
    0.27654153E+01    0.33573196E+00
    0.27489184E+01    0.26688441E+00
    0.27553820E+01    0.19194672E+00
    0.27789268E+01    0.13127335E+00
    0.28116154E+01    0.82417292E-01
    0.28547459E+01    0.53992982E-01
    0.29055770E+01    0.56006774E-01
    0.29535207E+01    0.84571338E-01
    0.29869605E+01    0.14259584E+00
    0.30026151E+01    0.22520842E+00
    0.29976762E+01    0.30816997E+00
    0.29696177E+01    0.37242539E+00
    0.29243710E+01    0.41605409E+00
    0.28738008E+01    0.43135118E+00
    0.28269095E+01    0.41271595E+00
    0.27901429E+01    0.37717312E+00
    0.27620314E+01    0.32773356E+00
    0.27482556E+01    0.25616703E+00
    0.27577706E+01    0.18270647E+00
    0.27827816E+01    0.12380687E+00
    0.28167346E+01    0.76842656E-01
    0.28613332E+01    0.52335256E-01
    0.29125708E+01    0.58182125E-01
    0.29590356E+01    0.90423288E-01
    0.29901793E+01    0.15252028E+00
    0.30032651E+01    0.23673898E+00
    0.29952935E+01    0.31795901E+00
    0.29641536E+01    0.37949529E+00
    0.29176228E+01    0.42004657E+00
    0.28669586E+01    0.43045097E+00
    0.28213734E+01    0.40841149E+00
    0.27858651E+01    0.37140698E+00
    0.27590939E+01    0.31916726E+00
    0.27482577E+01    0.24545177E+00
    0.27606228E+01    0.17387304E+00
    0.27869802E+01    0.11666064E+00
    0.28222771E+01    0.71850557E-01
    0.28682250E+01    0.51546678E-01
    0.29196347E+01    0.61144470E-01
    0.29643304E+01    0.97268239E-01
    0.29930815E+01    0.16343973E+00
    0.30034490E+01    0.24895696E+00
    0.29922416E+01    0.32781562E+00
    0.29582920E+01    0.38639236E+00
    0.29106486E+01    0.42359778E+00
    0.28600354E+01    0.42888268E+00
    0.28158837E+01    0.40378330E+00
    0.27815895E+01    0.36521770E+00
    0.27563458E+01    0.30986789E+00
    0.27487447E+01    0.23455305E+00
    0.27637905E+01    0.16511875E+00
    0.27914215E+01    0.10954175E+00
    0.28281639E+01    0.67225380E-01
    0.28754000E+01    0.51322174E-01
    0.29267089E+01    0.64657142E-01
    0.29693834E+01    0.10485908E+00
    0.29956753E+01    0.17495901E+00
    0.30031788E+01    0.26128126E+00
    0.29886491E+01    0.33742428E+00
    0.29520734E+01    0.39303011E+00
    0.29034783E+01    0.42656787E+00
    0.28531157E+01    0.42664075E+00
    0.28104783E+01    0.39885059E+00
    0.27773887E+01    0.35860025E+00
    0.27538919E+01    0.29991082E+00
    0.27497313E+01    0.22365690E+00
    0.27672514E+01    0.15644955E+00
    0.27961368E+01    0.10243883E+00
    0.28343894E+01    0.63058494E-01
    0.28827662E+01    0.51691704E-01
    0.29336416E+01    0.68747694E-01
    0.29742408E+01    0.11324409E+00
    0.29979825E+01    0.18706223E+00
    0.30025032E+01    0.27338056E+00
    0.29845933E+01    0.34668575E+00
    0.29453195E+01    0.39940657E+00
    0.28959688E+01    0.42879232E+00
    0.28461849E+01    0.42363066E+00
    0.28051314E+01    0.39346749E+00
    0.27732750E+01    0.35131588E+00
    0.27518290E+01    0.28914199E+00
    0.27512976E+01    0.21267740E+00
    0.27711078E+01    0.14778557E+00
    0.28012571E+01    0.95433274E-01
    0.28411598E+01    0.59424314E-01
    0.28905418E+01    0.52749427E-01
    0.29406167E+01    0.73677550E-01
    0.29788591E+01    0.12271871E+00
    0.29999603E+01    0.20011317E+00
    0.30013215E+01    0.28563783E+00
    0.29798754E+01    0.35590098E+00
    0.29380911E+01    0.40557776E+00
    0.28882039E+01    0.43032196E+00
    0.28392706E+01    0.42006756E+00
    0.27997894E+01    0.38780250E+00
    0.27691989E+01    0.34341865E+00
    0.27501615E+01    0.27773590E+00
    0.27533176E+01    0.20178960E+00
    0.27751917E+01    0.13915963E+00
    0.28066471E+01    0.88562854E-01
    0.28482078E+01    0.56403802E-01
    0.28984090E+01    0.54353513E-01
    0.29474672E+01    0.79234408E-01
    0.29832375E+01    0.13298427E+00
    0.30014950E+01    0.21336173E+00
    0.29996041E+01    0.29762918E+00
    0.29747301E+01    0.36470000E+00
    0.29309272E+01    0.41126741E+00
    0.28806643E+01    0.43119746E+00
