 #  R                 Z
    0.29965836E+01    0.31264995E+00
    0.29917048E+01    0.32463476E+00
    0.29854566E+01    0.33568025E+00
    0.29780047E+01    0.34549262E+00
    0.29695239E+01    0.35386862E+00
    0.29602123E+01    0.36064175E+00
    0.29502753E+01    0.36569279E+00
    0.29399301E+01    0.36893990E+00
    0.29293895E+01    0.37034309E+00
    0.29188680E+01    0.36989872E+00
    0.29085783E+01    0.36764220E+00
    0.28987188E+01    0.36364469E+00
    0.28894593E+01    0.35799983E+00
    0.28809731E+01    0.35083696E+00
    0.28734061E+01    0.34230412E+00
    0.28668922E+01    0.33257971E+00
    0.28615344E+01    0.32184517E+00
    0.28574221E+01    0.31030561E+00
    0.28546200E+01    0.29816648E+00
    0.28531771E+01    0.28567458E+00
    0.28531107E+01    0.27305569E+00
    0.28544198E+01    0.26051661E+00
    0.28570903E+01    0.24826646E+00
    0.28610777E+01    0.23655561E+00
    0.28663147E+01    0.22560549E+00
    0.28727196E+01    0.21561358E+00
    0.28801796E+01    0.20678212E+00
    0.28885811E+01    0.19927446E+00
    0.28977931E+01    0.19324548E+00
    0.29076568E+01    0.18884043E+00
    0.29178899E+01    0.18619732E+00
    0.29284207E+01    0.18535407E+00
    0.29389646E+01    0.18636482E+00
    0.29493370E+01    0.18923083E+00
    0.29593205E+01    0.19391755E+00
    0.29686980E+01    0.20035128E+00
    0.29772698E+01    0.20842340E+00
    0.29848311E+01    0.21797228E+00
    0.29912107E+01    0.22881189E+00
    0.29962616E+01    0.24073302E+00
    0.29998508E+01    0.25346327E+00
    0.30018921E+01    0.26673013E+00
    0.30023348E+01    0.28024209E+00
    0.30011688E+01    0.29369427E+00
    0.29984243E+01    0.30679411E+00
    0.29941736E+01    0.31924730E+00
    0.29885109E+01    0.33081282E+00
    0.29815748E+01    0.34123433E+00
    0.29735310E+01    0.35029658E+00
    0.29645664E+01    0.35782159E+00
    0.29548800E+01    0.36367358E+00
    0.29446881E+01    0.36775134E+00
    0.29341987E+01    0.36999871E+00
    0.29236367E+01    0.37039328E+00
    0.29132087E+01    0.36895350E+00
    0.29031242E+01    0.36573556E+00
    0.28935617E+01    0.36082228E+00
    0.28846985E+01    0.35432859E+00
    0.28766906E+01    0.34639361E+00
    0.28696795E+01    0.33718452E+00
    0.28637775E+01    0.32687520E+00
    0.28590852E+01    0.31566674E+00
    0.28556787E+01    0.30376798E+00
    0.28536125E+01    0.29140146E+00
    0.28529180E+01    0.27880621E+00
    0.28536022E+01    0.26619512E+00
    0.28556568E+01    0.25377865E+00
    0.28590555E+01    0.24177985E+00
    0.28637340E+01    0.23045486E+00
    0.28696239E+01    0.21999232E+00
    0.28766220E+01    0.21060406E+00
    0.28846112E+01    0.20247167E+00
    0.28934711E+01    0.19574914E+00
    0.29030825E+01    0.19057468E+00
    0.29131824E+01    0.18711801E+00
    0.29236116E+01    0.18544534E+00
    0.29341802E+01    0.18561143E+00
    0.29446632E+01    0.18763629E+00
    0.29548536E+01    0.19150195E+00
    0.29645463E+01    0.19715987E+00
    0.29735129E+01    0.20450559E+00
    0.29815606E+01    0.21340790E+00
    0.29885064E+01    0.22369787E+00
    0.29941805E+01    0.23515807E+00
    0.29984526E+01    0.24756604E+00
    0.30012092E+01    0.26063602E+00
    0.30023833E+01    0.27407167E+00
    0.30019486E+01    0.28759620E+00
    0.29999127E+01    0.30091594E+00
    0.29963351E+01    0.31370100E+00
    0.29912984E+01    0.32570703E+00
    0.29849179E+01    0.33668693E+00
    0.29773507E+01    0.34639935E+00
    0.29687749E+01    0.35464888E+00
    0.29593846E+01    0.36128167E+00
    0.29493879E+01    0.36618015E+00
    0.29390027E+01    0.36926659E+00
    0.29284376E+01    0.37050527E+00
    0.29179176E+01    0.36989551E+00
    0.29076442E+01    0.36747557E+00
    0.28978188E+01    0.36332025E+00
    0.28886078E+01    0.35752431E+00
    0.28801888E+01    0.35022346E+00
    0.28727025E+01    0.34156618E+00
    0.28662783E+01    0.33172847E+00
    0.28610235E+01    0.32090224E+00
    0.28570210E+01    0.30928625E+00
    0.28543347E+01    0.29708598E+00
    0.28530133E+01    0.28456187E+00
    0.28530696E+01    0.27192457E+00
    0.28545037E+01    0.25938095E+00
    0.28572968E+01    0.24715641E+00
    0.28614050E+01    0.23548669E+00
    0.28667540E+01    0.22460512E+00
    0.28732663E+01    0.21469471E+00
    0.28808221E+01    0.20596546E+00
    0.28893070E+01    0.19857636E+00
    0.28986057E+01    0.19267128E+00
    0.29085274E+01    0.18841281E+00
    0.29188137E+01    0.18592291E+00
    0.29293645E+01    0.18524415E+00
    0.29399239E+01    0.18642422E+00
    0.29502785E+01    0.18945812E+00
    0.29602303E+01    0.19431162E+00
    0.29695561E+01    0.20090576E+00
    0.29780568E+01    0.20912858E+00
    0.29855296E+01    0.21881510E+00
    0.29918048E+01    0.22977664E+00
    0.29967348E+01    0.24179447E+00
    0.30001946E+01    0.25460778E+00
    0.30020958E+01    0.26792185E+00
    0.30023945E+01    0.28145722E+00
    0.30010835E+01    0.29490791E+00
    0.29981961E+01    0.30798114E+00
    0.29938088E+01    0.32038059E+00
    0.29880153E+01    0.33187318E+00
    0.29809656E+01    0.34219093E+00
    0.29728202E+01    0.35113354E+00
    0.29637704E+01    0.35852349E+00
    0.29540168E+01    0.36422728E+00
    0.29437764E+01    0.36814753E+00
    0.29332580E+01    0.37023138E+00
    0.29226828E+01    0.37046036E+00
    0.29122665E+01    0.36885666E+00
    0.29022081E+01    0.36547810E+00
    0.28926899E+01    0.36041173E+00
    0.28838864E+01    0.35377470E+00
    0.28759521E+01    0.34570828E+00
